name,confirmed,suspected,discharged,deceased,updatedAtDate
湖北省,64786,0,18889,2563,2020-02-25
湖南省,1016,0,757,4,2020-02-25
河北省,311,0,242,6,2020-02-25
吉林省,93,0,61,1,2020-02-25
福建省,294,0,194,1,2020-02-25
广西壮族自治区,252,0,142,2,2020-02-25
山东省,756,0,349,6,2020-02-25
安徽省,989,0,712,6,2020-02-25
上海市,336,0,268,3,2020-02-25
四川省,529,0,283,3,2020-02-25
陕西省,245,0,179,1,2020-02-25
云南省,174,0,129,2,2020-02-25
山西省,133,0,96,0,2020-02-25
广东省,1347,0,807,7,2020-02-25
黑龙江省,480,0,241,12,2020-02-25
宁夏回族自治区,71,0,61,0,2020-02-25
海南省,168,0,122,5,2020-02-25
河南省,1271,0,989,19,2020-02-25
贵州省,146,0,103,2,2020-02-25
北京市,400,0,215,4,2020-02-25
浙江省,1205,0,794,1,2020-02-25
江西省,934,0,682,1,2020-02-25
江苏省,631,0,458,0,2020-02-25
辽宁省,121,0,83,1,2020-02-25
重庆市,576,0,349,6,2020-02-25
甘肃省,91,0,80,2,2020-02-24
新疆维吾尔自治区,76,0,30,2,2020-02-24
山西省,132,0,91,0,2020-02-24
内蒙古自治区,75,0,34,0,2020-02-24
天津市,135,0,87,3,2020-02-24
海南省,168,0,116,5,2020-02-24
陕西省,245,0,173,1,2020-02-24
黑龙江省,480,0,227,12,2020-02-24
江苏省,631,0,452,0,2020-02-24
四川省,527,0,276,3,2020-02-24
河北省,311,0,234,6,2020-02-24
湖南省,1016,0,731,4,2020-02-24
河南省,1271,0,943,19,2020-02-24
湖北省,64287,0,16748,2495,2020-02-24
山东省,755,0,343,5,2020-02-24
福建省,293,0,183,1,2020-02-24
广东省,1345,0,786,6,2020-02-24
云南省,174,0,128,2,2020-02-24
吉林省,93,0,60,1,2020-02-24
安徽省,989,0,663,6,2020-02-24
浙江省,1205,0,782,1,2020-02-24
上海市,335,0,261,3,2020-02-24
广西壮族自治区,251,0,112,2,2020-02-24
辽宁省,121,0,80,1,2020-02-24
宁夏回族自治区,71,0,58,0,2020-02-24
江西省,934,0,645,1,2020-02-24
北京市,399,0,198,4,2020-02-24
重庆市,575,0,335,6,2020-02-24
新疆维吾尔自治区,76,0,28,2,2020-02-23
黑龙江省,480,0,222,12,2020-02-23
辽宁省,121,0,73,1,2020-02-23
甘肃省,91,0,78,2,2020-02-23
吉林省,91,0,54,1,2020-02-23
贵州省,146,0,102,2,2020-02-23
