name,confirmed,suspected,discharged,deceased,updatedAtDate
宣城,6,0,4,0,2020-02-13
黄山,9,0,1,0,2020-02-13
滁州,12,0,4,0,2020-02-13
池州,16,0,3,0,2020-02-13
淮南,24,0,6,0,2020-02-13
淮北,24,0,5,0,2020-02-13
铜陵,27,0,9,0,2020-02-13
芜湖,31,0,4,0,2020-02-13
马鞍山,32,0,6,0,2020-02-13
宿州,36,0,8,0,2020-02-13
六安,59,0,3,0,2020-02-13
安庆,80,0,15,0,2020-02-13
亳州,97,0,12,0,2020-02-13
阜阳,138,0,17,0,2020-02-13
蚌埠,141,0,2,3,2020-02-13
合肥,157,0,28,1,2020-02-13
合肥,157,0,28,1,2020-02-12
蚌埠,141,0,2,3,2020-02-12
阜阳,138,0,17,0,2020-02-12
亳州,97,0,12,0,2020-02-12
安庆,80,0,15,0,2020-02-12
六安,59,0,3,0,2020-02-12
宿州,36,0,8,0,2020-02-12
马鞍山,32,0,6,0,2020-02-12
芜湖,31,0,4,0,2020-02-12
铜陵,27,0,9,0,2020-02-12
淮北,24,0,5,0,2020-02-12
淮南,24,0,6,0,2020-02-12
池州,16,0,3,0,2020-02-12
滁州,12,0,4,0,2020-02-12
黄山,9,0,1,0,2020-02-12
宣城,6,0,4,0,2020-02-12
安庆,80,0,15,0,2020-02-11
淮南,24,0,6,0,2020-02-11
淮北,24,0,5,0,2020-02-11
铜陵,27,0,7,0,2020-02-11
芜湖,31,0,4,0,2020-02-11
马鞍山,32,0,4,0,2020-02-11
宿州,33,0,3,0,2020-02-11
六安,59,0,3,0,2020-02-11
蚌埠,134,0,2,3,2020-02-11
亳州,92,0,7,0,2020-02-11
阜阳,132,0,17,0,2020-02-11
滁州,12,0,4,0,2020-02-11
合肥,150,0,20,1,2020-02-11
池州,15,0,3,0,2020-02-11
黄山,9,0,1,0,2020-02-11
宣城,6,0,4,0,2020-02-11
阜阳,125,0,13,0,2020-02-10
黄山,9,0,1,0,2020-02-10
滁州,12,0,3,0,2020-02-10
池州,15,0,3,0,2020-02-10
淮南,23,0,4,0,2020-02-10
淮北,23,0,5,0,2020-02-10
铜陵,25,0,7,0,2020-02-10
芜湖,30,0,3,0,2020-02-10
宿州,31,0,3,0,2020-02-10
马鞍山,31,0,2,0,2020-02-10
六安,57,0,3,0,2020-02-10
安庆,78,0,15,0,2020-02-10
亳州,92,0,7,0,2020-02-10
蚌埠,126,0,2,3,2020-02-10
合肥,147,0,15,0,2020-02-10
宣城,6,0,2,0,2020-02-10
宣城,5,0,2,0,2020-02-09
黄山,9,0,1,0,2020-02-09
马鞍山,31,0,2,0,2020-02-09
滁州,11,0,2,0,2020-02-09
合肥,136,0,11,0,2020-02-09
阜阳,118,0,13,0,2020-02-09
亳州,87,0,5,0,2020-02-09
安庆,75,0,12,0,2020-02-09
六安,54,0,2,0,2020-02-09
蚌埠,115,0,1,1,2020-02-09
宿州,28,0,2,0,2020-02-09
铜陵,24,0,7,0,2020-02-09
淮北,23,0,4,0,2020-02-09
淮南,22,0,4,0,2020-02-09
芜湖,29,0,3,0,2020-02-09
池州,12,0,1,0,2020-02-09
宿州,28,0,1,0,2020-02-08
宣城,5,0,2,0,2020-02-08
黄山,9,0,1,0,2020-02-08
池州,11,0,1,0,2020-02-08
滁州,11,0,2,0,2020-02-08
淮南,21,0,3,0,2020-02-08
淮北,22,0,1,0,2020-02-08
铜陵,23,0,7,0,2020-02-08
芜湖,29,0,3,0,2020-02-08
马鞍山,31,0,2,0,2020-02-08
