name,confirmed,suspected,discharged,deceased,updatedAtDate
石景山区,14,0,1,0,2020-02-22
大兴区,39,0,2,0,2020-02-22
昌平区,29,0,0,0,2020-02-22
外地来京人员,26,0,2,0,2020-02-22
通州区,19,0,1,0,2020-02-22
房山区,16,0,3,0,2020-02-22
怀柔区,7,0,0,0,2020-02-22
东城区,12,0,1,0,2020-02-22
顺义区,10,0,0,0,2020-02-22
朝阳区,60,0,0,0,2020-02-22
密云区,7,0,0,0,2020-02-22
门头沟区,3,0,2,0,2020-02-22
延庆区,1,0,0,0,2020-02-22
待明确地区,0,0,163,4,2020-02-22
西城区,53,0,0,0,2020-02-22
丰台区,41,0,3,0,2020-02-22
海淀区,62,0,0,0,2020-02-22
石景山区,14,0,1,0,2020-02-21
待明确地区,0,0,154,4,2020-02-21
延庆区,1,0,0,0,2020-02-21
门头沟区,3,0,2,0,2020-02-21
密云区,7,0,0,0,2020-02-21
怀柔区,7,0,0,0,2020-02-21
顺义区,10,0,0,0,2020-02-21
东城区,12,0,1,0,2020-02-21
海淀区,61,0,0,0,2020-02-21
房山区,16,0,3,0,2020-02-21
通州区,19,0,1,0,2020-02-21
外地来京人员,26,0,2,0,2020-02-21
昌平区,29,0,0,0,2020-02-21
大兴区,39,0,2,0,2020-02-21
丰台区,41,0,3,0,2020-02-21
西城区,53,0,0,0,2020-02-21
朝阳区,58,0,0,0,2020-02-21
待明确地区,0,0,138,4,2020-02-20
石景山区,14,0,1,0,2020-02-20
延庆区,1,0,0,0,2020-02-20
门头沟区,3,0,2,0,2020-02-20
密云区,7,0,0,0,2020-02-20
怀柔区,7,0,0,0,2020-02-20
顺义区,10,0,0,0,2020-02-20
东城区,12,0,1,0,2020-02-20
朝阳区,58,0,0,0,2020-02-20
房山区,16,0,3,0,2020-02-20
外地来京人员,26,0,2,0,2020-02-20
昌平区,29,0,0,0,2020-02-20
大兴区,39,0,2,0,2020-02-20
丰台区,40,0,3,0,2020-02-20
西城区,53,0,0,0,2020-02-20
海淀区,61,0,0,0,2020-02-20
通州区,19,0,1,0,2020-02-20
西城区,52,0,0,0,2020-02-19
海淀区,61,0,0,0,2020-02-19
朝阳区,58,0,0,0,2020-02-19
丰台区,40,0,3,0,2020-02-19
昌平区,29,0,0,0,2020-02-19
大兴区,39,0,2,0,2020-02-19
外地来京人员,26,0,2,0,2020-02-19
通州区,18,0,1,0,2020-02-19
房山区,16,0,3,0,2020-02-19
石景山区,14,0,1,0,2020-02-19
东城区,12,0,1,0,2020-02-19
顺义区,10,0,0,0,2020-02-19
怀柔区,7,0,0,0,2020-02-19
密云区,7,0,0,0,2020-02-19
门头沟区,3,0,2,0,2020-02-19
延庆区,1,0,0,0,2020-02-19
待明确地区,0,0,132,4,2020-02-19
房山区,16,0,3,0,2020-02-18
待明确地区,0,0,109,4,2020-02-18
延庆区,1,0,0,0,2020-02-18
门头沟区,3,0,0,0,2020-02-18
密云区,7,0,0,0,2020-02-18
顺义区,10,0,0,0,2020-02-18
东城区,12,0,1,0,2020-02-18
石景山区,14,0,1,0,2020-02-18
怀柔区,7,0,0,0,2020-02-18
通州区,18,0,1,0,2020-02-18
昌平区,29,0,0,0,2020-02-18
大兴区,39,0,2,0,2020-02-18
丰台区,40,0,3,0,2020-02-18
西城区,47,0,0,0,2020-02-18
朝阳区,58,0,0,0,2020-02-18
海淀区,60,0,0,0,2020-02-18
外地来京人员,26,0,2,0,2020-02-18
房山区,16,0,3,0,2020-02-17
待明确地区,0,0,101,4,2020-02-17
延庆区,1,0,0,0,2020-02-17
门头沟区,3,0,0,0,2020-02-17
密云区,7,0,0,0,2020-02-17
怀柔区,7,0,0,0,2020-02-17
东城区,12,0,1,0,2020-02-17
石景山区,14,0,1,0,2020-02-17
顺义区,10,0,0,0,2020-02-17
通州区,18,0,1,0,2020-02-17
昌平区,25,0,0,0,2020-02-17
丰台区,39,0,3,0,2020-02-17
大兴区,39,0,2,0,2020-02-17
西城区,46,0,0,0,2020-02-17
朝阳区,58,0,0,0,2020-02-17
海淀区,60,0,0,0,2020-02-17
外地来京人员,26,0,2,0,2020-02-17
朝阳区,58,0,0,0,2020-02-16
海淀区,60,0,0,0,2020-02-16
大兴区,39,0,2,0,2020-02-16
西城区,46,0,0,0,2020-02-16
丰台区,39,0,3,0,2020-02-16
昌平区,25,0,0,0,2020-02-16
外地来京人员,26,0,2,0,2020-02-16
石景山区,14,0,1,0,2020-02-16
通州区,18,0,1,0,2020-02-16
房山区,15,0,3,0,2020-02-16
东城区,12,0,1,0,2020-02-16
待明确地区,0,0,95,4,2020-02-16
延庆区,1,0,0,0,2020-02-16
门头沟区,3,0,0,0,2020-02-16
密云区,7,0,0,0,2020-02-16
怀柔区,7,0,0,0,2020-02-16
顺义区,10,0,0,0,2020-02-16
丰台区,38,0,3,0,2020-02-15
