name,confirmed,suspected,discharged,deceased,updatedAtDate
涪陵区,5.0,0.0,5.0,0.0,2020-04-24
璧山区,9.0,0.0,9.0,0.0,2020-04-24
荣昌区,9.0,0.0,9.0,0.0,2020-04-24
大渡口区,7.0,0.0,7.0,0.0,2020-04-24
巴南区,6.0,0.0,6.0,0.0,2020-04-24
江津区,4.0,0.0,4.0,0.0,2020-04-24
永川区,5.0,0.0,5.0,0.0,2020-04-24
巫山县,10.0,0.0,10.0,0.0,2020-04-24
梁平区,4.0,0.0,4.0,0.0,2020-04-24
高新区,4.0,0.0,4.0,0.0,2020-04-24
沙坪坝区,9.0,0.0,9.0,0.0,2020-04-24
大足区,14.0,0.0,14.0,0.0,2020-04-24
丰都县,10.0,0.0,10.0,0.0,2020-04-24
铜梁区,10.0,0.0,10.0,0.0,2020-04-24
巫溪县,14.0,0.0,14.0,0.0,2020-04-24
黔江区,2.0,0.0,2.0,0.0,2020-04-24
石柱县,15.0,0.0,15.0,0.0,2020-04-24
南岸区,15.0,0.0,15.0,0.0,2020-04-24
两江新区,17.0,0.0,17.0,0.0,2020-04-24
潼南区,18.0,0.0,18.0,0.0,2020-04-24
垫江县,20.0,0.0,20.0,0.0,2020-04-24
渝中区,20.0,0.0,20.0,0.0,2020-04-24
忠县,21.0,0.0,21.0,0.0,2020-04-24
境外输入,3.0,0.0,3.0,0.0,2020-04-24
城口县,2.0,0.0,2.0,0.0,2020-04-24
九龙坡区,21.0,0.0,20.0,1.0,2020-04-24
彭水县,2.0,0.0,2.0,0.0,2020-04-24
万盛经开区,1.0,0.0,1.0,0.0,2020-04-24
酉阳县,1.0,0.0,1.0,0.0,2020-04-24
秀山县,1.0,0.0,1.0,0.0,2020-04-24
武隆区,1.0,0.0,1.0,0.0,2020-04-24
开州区,21.0,0.0,20.0,1.0,2020-04-24
渝北区,17.0,0.0,17.0,0.0,2020-04-24
奉节县,22.0,0.0,22.0,0.0,2020-04-24
长寿区,22.0,0.0,22.0,0.0,2020-04-24
合川区,23.0,0.0,23.0,0.0,2020-04-24
