name,confirmed,suspected,discharged,deceased,updatedAtDate
南平,20,0,7,0,2020-02-18
待明确地区,0,0,1,0,2020-02-18
龙岩,6,0,1,0,2020-02-18
三明,14,0,3,0,2020-02-18
漳州,20,0,8,0,2020-02-18
宁德,25,0,6,0,2020-02-18
厦门,35,0,9,0,2020-02-18
泉州,46,0,13,0,2020-02-18
莆田,55,0,17,0,2020-02-18
福州,71,0,26,0,2020-02-18
福州,69,0,26,0,2020-02-17
莆田,55,0,17,0,2020-02-17
泉州,46,0,13,0,2020-02-17
厦门,35,0,9,0,2020-02-17
宁德,25,0,6,0,2020-02-17
南平,20,0,7,0,2020-02-17
漳州,20,0,8,0,2020-02-17
三明,14,0,3,0,2020-02-17
龙岩,6,0,1,0,2020-02-17
待明确地区,0,0,2,0,2020-02-17
龙岩,6,0,1,0,2020-02-16
三明,13,0,3,0,2020-02-16
南平,20,0,7,0,2020-02-16
漳州,20,0,6,0,2020-02-16
宁德,25,0,6,0,2020-02-16
厦门,34,0,6,0,2020-02-16
泉州,46,0,13,0,2020-02-16
莆田,55,0,17,0,2020-02-16
福州,68,0,23,0,2020-02-16
待明确地区,0,0,6,0,2020-02-16
泉州,46,0,13,0,2020-02-15
漳州,20,0,6,0,2020-02-15
南平,20,0,5,0,2020-02-15
宁德,25,0,6,0,2020-02-15
厦门,34,0,5,0,2020-02-15
莆田,55,0,12,0,2020-02-15
福州,66,0,20,0,2020-02-15
龙岩,6,0,1,0,2020-02-15
三明,13,0,3,0,2020-02-15
待明确地区,0,0,3,0,2020-02-15
南平,20,0,4,0,2020-02-14
漳州,19,0,4,0,2020-02-14
三明,13,0,3,0,2020-02-14
龙岩,6,0,1,0,2020-02-14
厦门,34,0,4,0,2020-02-14
宁德,25,0,6,0,2020-02-14
泉州,44,0,13,0,2020-02-14
莆田,54,0,10,0,2020-02-14
福州,66,0,18,0,2020-02-14
待明确地区,0,0,5,0,2020-02-14
三明,13,0,1,0,2020-02-13
龙岩,6,0,1,0,2020-02-13
漳州,19,0,4,0,2020-02-13
南平,20,0,3,0,2020-02-13
福州,64,0,17,0,2020-02-13
莆田,54,0,8,0,2020-02-13
泉州,44,0,13,0,2020-02-13
厦门,34,0,4,0,2020-02-13
宁德,25,0,6,0,2020-02-13
宁德,24,0,5,0,2020-02-12
龙岩,6,0,1,0,2020-02-12
南平,19,0,3,0,2020-02-12
漳州,19,0,3,0,2020-02-12
三明,13,0,1,0,2020-02-12
厦门,32,0,4,0,2020-02-12
莆田,52,0,8,0,2020-02-12
福州,64,0,15,0,2020-02-12
泉州,43,0,13,0,2020-02-12
待明确地区,0,0,1,0,2020-02-12
福州,63,0,13,0,2020-02-11
厦门,31,0,3,0,2020-02-11
莆田,51,0,6,0,2020-02-11
泉州,43,0,11,0,2020-02-11
宁德,24,0,4,0,2020-02-11
漳州,17,0,3,0,2020-02-11
南平,19,0,3,0,2020-02-11
三明,13,0,1,0,2020-02-11
龙岩,6,0,1,0,2020-02-11
宁德,24,0,4,0,2020-02-10
三明,13,0,1,0,2020-02-10
漳州,16,0,3,0,2020-02-10
南平,18,0,2,0,2020-02-10
龙岩,6,0,1,0,2020-02-10
厦门,28,0,3,0,2020-02-10
莆田,51,0,2,0,2020-02-10
福州,63,0,12,0,2020-02-10
泉州,42,0,11,0,2020-02-10
待明确地区,0,0,9,0,2020-02-10
漳州,16,0,3,0,2020-02-09
龙岩,6,0,1,0,2020-02-09
三明,13,0,1,0,2020-02-09
南平,16,0,2,0,2020-02-09
宁德,23,0,4,0,2020-02-09
福州,62,0,11,0,2020-02-09
莆田,47,0,1,0,2020-02-09
厦门,25,0,2,0,2020-02-09
泉州,42,0,10,0,2020-02-09
宁德,21,0,4,0,2020-02-08
福州,59,0,10,0,2020-02-08
泉州,40,0,4,0,2020-02-08
厦门,25,0,2,0,2020-02-08
莆田,47,0,1,0,2020-02-08
漳州,16,0,1,0,2020-02-08
南平,14,0,1,0,2020-02-08
三明,12,0,1,0,2020-02-08
龙岩,5,0,0,0,2020-02-08
龙岩,4,0,0,0,2020-02-07
三明,12,0,0,0,2020-02-07
南平,12,0,1,0,2020-02-07
漳州,16,0,1,0,2020-02-07
宁德,16,0,4,0,2020-02-07
厦门,23,0,2,0,2020-02-07
泉州,40,0,4,0,2020-02-07
莆田,44,0,1,0,2020-02-07
福州,57,0,7,0,2020-02-07
待明确地区,0,0,1,0,2020-02-07
龙岩,2,0,0,0,2020-02-06
三明,11,0,0,0,2020-02-06
南平,12,0,0,0,2020-02-06
漳州,16,0,1,0,2020-02-06
宁德,16,0,1,0,2020-02-06
厦门,21,0,1,0,2020-02-06
泉州,39,0,4,0,2020-02-06
莆田,42,0,1,0,2020-02-06
福州,56,0,6,0,2020-02-06
龙岩,2,0,0,0,2020-02-05
三明,11,0,0,0,2020-02-05
南平,12,0,0,0,2020-02-05
宁德,14,0,1,0,2020-02-05
漳州,15,0,0,0,2020-02-05
厦门,21,0,1,0,2020-02-05
泉州,37,0,4,0,2020-02-05
莆田,38,0,1,0,2020-02-05
福州,55,0,4,0,2020-02-05
宁德,12,0,0,0,2020-02-04
龙岩,2,0,0,0,2020-02-04
南平,11,0,0,0,2020-02-04
三明,11,0,0,0,2020-02-04
莆田,37,0,1,0,2020-02-04
漳州,13,0,0,0,2020-02-04
厦门,20,0,0,0,2020-02-04
泉州,35,0,0,0,2020-02-04
福州,53,0,2,0,2020-02-04
宁德,12,0,0,0,2020-02-03
龙岩,1,0,0,0,2020-02-03
南平,11,0,0,0,2020-02-03
三明,11,0,0,0,2020-02-03
漳州,13,0,0,0,2020-02-03
厦门,19,0,0,0,2020-02-03
泉州,31,0,0,0,2020-02-03
莆田,34,0,1,0,2020-02-03
福州,47,0,0,0,2020-02-03
三明,11,0,0,0,2020-02-02
龙岩,1,0,0,0,2020-02-02
南平,8,0,0,0,2020-02-02
宁德,9,0,0,0,2020-02-02
泉州,29,0,0,0,2020-02-02
漳州,12,0,0,0,2020-02-02
莆田,27,0,0,0,2020-02-02
福州,44,0,0,0,2020-02-02
厦门,18,0,0,0,2020-02-02
三明,10,0,0,0,2020-02-01
龙岩,1,0,0,0,2020-02-01
南平,8,0,0,0,2020-02-01
宁德,9,0,0,0,2020-02-01
莆田,25,0,0,0,2020-02-01
