name,confirmed,suspected,discharged,deceased,updatedAtDate
临夏,3.0,0.0,3.0,0.0,2020-04-16
省级（湖北输入）,1.0,0.0,1.0,0.0,2020-04-16
金昌,1.0,0.0,1.0,0.0,2020-04-16
张掖,2.0,0.0,2.0,0.0,2020-04-16
平凉,9.0,0.0,9.0,0.0,2020-04-16
庆阳,3.0,0.0,3.0,0.0,2020-04-16
陇南,4.0,0.0,4.0,0.0,2020-04-16
白银,4.0,0.0,4.0,0.0,2020-04-16
甘南,8.0,0.0,8.0,0.0,2020-04-16
定西,9.0,0.0,9.0,0.0,2020-04-16
天水,12.0,0.0,12.0,0.0,2020-04-16
兰州,36.0,0.0,34.0,2.0,2020-04-16
境外输入,47.0,0.0,47.0,0.0,2020-04-16
省级（湖北输入）,1.0,0.0,1.0,0.0,2020-04-14
金昌,1.0,0.0,1.0,0.0,2020-04-14
张掖,2.0,0.0,2.0,0.0,2020-04-14
临夏,3.0,0.0,3.0,0.0,2020-04-14
庆阳,3.0,0.0,3.0,0.0,2020-04-14
陇南,4.0,0.0,4.0,0.0,2020-04-14
白银,4.0,0.0,4.0,0.0,2020-04-14
甘南,8.0,0.0,8.0,0.0,2020-04-14
定西,9.0,0.0,9.0,0.0,2020-04-14
平凉,9.0,0.0,9.0,0.0,2020-04-14
天水,12.0,0.0,12.0,0.0,2020-04-14
兰州,36.0,0.0,34.0,2.0,2020-04-14
境外输入,47.0,0.0,46.0,0.0,2020-04-14
临夏,3.0,0.0,3.0,0.0,2020-04-09
境外输入,47.0,0.0,43.0,0.0,2020-04-09
天水,12.0,0.0,12.0,0.0,2020-04-09
平凉,9.0,0.0,9.0,0.0,2020-04-09
甘南,8.0,0.0,8.0,0.0,2020-04-09
白银,4.0,0.0,4.0,0.0,2020-04-09
陇南,4.0,0.0,4.0,0.0,2020-04-09
庆阳,3.0,0.0,3.0,0.0,2020-04-09
张掖,2.0,0.0,2.0,0.0,2020-04-09
金昌,1.0,0.0,1.0,0.0,2020-04-09
省级（湖北输入）,1.0,0.0,1.0,0.0,2020-04-09
兰州,36.0,0.0,36.0,2.0,2020-04-09
定西,9.0,0.0,9.0,0.0,2020-04-09
省级（湖北输入）,1.0,0.0,1.0,0.0,2020-04-08
张掖,2.0,0.0,2.0,0.0,2020-04-08
金昌,1.0,0.0,1.0,0.0,2020-04-08
临夏,3.0,0.0,3.0,0.0,2020-04-08
