name,confirmed,suspected,discharged,deceased,updatedAtDate
茂名,14,0,7,0,2020-02-25
深圳,417,0,262,3,2020-02-25
清远,12,0,12,0,2020-02-25
潮州,5,0,4,0,2020-02-25
汕尾,5,0,4,0,2020-02-25
河源,4,0,1,0,2020-02-25
揭阳,8,0,5,0,2020-02-25
阳江,14,0,10,0,2020-02-25
汕头,25,0,21,0,2020-02-25
梅州,16,0,11,0,2020-02-25
韶关,10,0,7,0,2020-02-25
肇庆,19,0,10,1,2020-02-25
珠海,98,0,56,1,2020-02-25
湛江,22,0,14,0,2020-02-25
东莞,97,0,40,1,2020-02-25
佛山,84,0,36,0,2020-02-25
广州,346,0,210,1,2020-02-25
中山,66,0,53,0,2020-02-25
惠州,62,0,49,0,2020-02-25
江门,23,0,10,0,2020-02-25
待明确地区,0,0,19,0,2020-02-25
清远,12,0,10,0,2020-02-24
河源,4,0,1,0,2020-02-24
汕尾,5,0,2,0,2020-02-24
揭阳,8,0,5,0,2020-02-24
韶关,10,0,6,0,2020-02-24
阳江,14,0,10,0,2020-02-24
汕头,25,0,21,0,2020-02-24
梅州,16,0,11,0,2020-02-24
茂名,14,0,7,0,2020-02-24
肇庆,19,0,10,1,2020-02-24
湛江,22,0,14,0,2020-02-24
江门,23,0,9,0,2020-02-24
中山,66,0,51,0,2020-02-24
惠州,62,0,46,0,2020-02-24
珠海,98,0,54,1,2020-02-24
佛山,84,0,36,0,2020-02-24
东莞,96,0,36,1,2020-02-24
广州,345,0,204,0,2020-02-24
深圳,417,0,249,3,2020-02-24
潮州,5,0,4,0,2020-02-24
待明确地区,0,0,17,0,2020-02-24
珠海,98,0,52,1,2020-02-23
佛山,84,0,36,0,2020-02-23
东莞,94,0,31,1,2020-02-23
广州,345,0,196,0,2020-02-23
深圳,417,0,237,3,2020-02-23
中山,66,0,49,0,2020-02-23
惠州,62,0,46,0,2020-02-23
江门,23,0,9,0,2020-02-23
潮州,5,0,4,0,2020-02-23
湛江,22,0,14,0,2020-02-23
清远,12,0,10,0,2020-02-23
河源,4,0,1,0,2020-02-23
汕尾,5,0,2,0,2020-02-23
阳江,13,0,10,0,2020-02-23
揭阳,8,0,4,0,2020-02-23
韶关,10,0,6,0,2020-02-23
汕头,25,0,21,0,2020-02-23
梅州,16,0,11,0,2020-02-23
茂名,14,0,6,0,2020-02-23
肇庆,19,0,10,1,2020-02-23
待明确地区,0,0,12,0,2020-02-23
茂名,14,0,6,0,2020-02-22
潮州,5,0,4,0,2020-02-22
河源,4,0,1,0,2020-02-22
汕尾,5,0,2,0,2020-02-22
阳江,13,0,10,0,2020-02-22
揭阳,8,0,4,0,2020-02-22
韶关,10,0,6,0,2020-02-22
梅州,16,0,11,0,2020-02-22
汕头,25,0,20,0,2020-02-22
清远,12,0,10,0,2020-02-22
肇庆,19,0,8,1,2020-02-22
江门,23,0,9,0,2020-02-22
惠州,62,0,46,0,2020-02-22
中山,66,0,46,0,2020-02-22
珠海,98,0,52,1,2020-02-22
佛山,84,0,34,0,2020-02-22
东莞,93,0,31,1,2020-02-22
广州,343,0,190,0,2020-02-22
深圳,417,0,226,2,2020-02-22
湛江,22,0,12,0,2020-02-22
待明确地区,0,0,30,0,2020-02-22
深圳,416,0,222,2,2020-02-21
东莞,93,0,27,1,2020-02-21
佛山,84,0,34,0,2020-02-21
珠海,98,0,49,1,2020-02-21
惠州,62,0,41,0,2020-02-21
江门,23,0,9,0,2020-02-21
湛江,22,0,12,0,2020-02-21
肇庆,18,0,8,1,2020-02-21
茂名,14,0,6,0,2020-02-21
汕头,25,0,20,0,2020-02-21
梅州,16,0,11,0,2020-02-21
韶关,10,0,6,0,2020-02-21
揭阳,8,0,4,0,2020-02-21
阳江,13,0,10,0,2020-02-21
清远,12,0,9,0,2020-02-21
汕尾,5,0,2,0,2020-02-21
河源,4,0,1,0,2020-02-21
潮州,5,0,4,0,2020-02-21
广州,339,0,172,0,2020-02-21
中山,66,0,43,0,2020-02-21
待明确地区,0,0,9,0,2020-02-21
清远,12,0,9,0,2020-02-20
汕头,25,0,20,0,2020-02-20
韶关,10,0,5,0,2020-02-20
揭阳,8,0,4,0,2020-02-20
待明确地区,0,0,2,0,2020-02-20
汕尾,5,0,2,0,2020-02-20
河源,4,0,1,0,2020-02-20
潮州,5,0,4,0,2020-02-20
茂名,14,0,6,0,2020-02-20
梅州,16,0,10,0,2020-02-20
阳江,13,0,10,0,2020-02-20
肇庆,18,0,8,1,2020-02-20
深圳,416,0,199,2,2020-02-20
江门,23,0,9,0,2020-02-20
惠州,62,0,38,0,2020-02-20
中山,66,0,42,0,2020-02-20
佛山,84,0,33,0,2020-02-20
珠海,98,0,45,1,2020-02-20
东莞,92,0,26,1,2020-02-20
广州,339,0,157,0,2020-02-20
湛江,22,0,12,0,2020-02-20
茂名,14,0,6,0,2020-02-19
深圳,416,0,182,2,2020-02-19
广州,339,0,148,0,2020-02-19
东莞,91,0,24,1,2020-02-19
珠海,98,0,45,1,2020-02-19
佛山,84,0,33,0,2020-02-19
惠州,62,0,38,0,2020-02-19
江门,23,0,9,0,2020-02-19
湛江,22,0,11,0,2020-02-19
肇庆,18,0,8,1,2020-02-19
中山,66,0,40,0,2020-02-19
汕头,25,0,18,0,2020-02-19
韶关,10,0,5,0,2020-02-19
阳江,13,0,9,0,2020-02-19
揭阳,8,0,4,0,2020-02-19
清远,12,0,9,0,2020-02-19
汕尾,5,0,2,0,2020-02-19
河源,4,0,1,0,2020-02-19
潮州,5,0,4,0,2020-02-19
梅州,16,0,10,0,2020-02-19
待明确地区,0,0,6,0,2020-02-19
清远,12,0,9,0,2020-02-18
阳江,13,0,9,0,2020-02-18
韶关,10,0,5,0,2020-02-18
茂名,14,0,6,0,2020-02-18
梅州,16,0,8,0,2020-02-18
肇庆,18,0,8,1,2020-02-18
汕头,25,0,15,0,2020-02-18
湛江,22,0,11,0,2020-02-18
江门,23,0,8,0,2020-02-18
中山,66,0,40,0,2020-02-18
珠海,98,0,43,0,2020-02-18
佛山,84,0,27,0,2020-02-18
东莞,91,0,24,1,2020-02-18
广州,339,0,142,0,2020-02-18
深圳,416,0,163,2,2020-02-18
揭阳,8,0,4,0,2020-02-18
惠州,59,0,36,0,2020-02-18
汕尾,5,0,2,0,2020-02-18
河源,4,0,1,0,2020-02-18
潮州,5,0,4,0,2020-02-18
待明确地区,0,0,11,0,2020-02-18
汕尾,5,0,2,0,2020-02-17
潮州,5,0,1,0,2020-02-17
揭阳,8,0,4,0,2020-02-17
阳江,13,0,9,0,2020-02-17
韶关,10,0,4,0,2020-02-17
梅州,16,0,8,0,2020-02-17
肇庆,17,0,8,1,2020-02-17
茂名,14,0,3,0,2020-02-17
湛江,22,0,11,0,2020-02-17
汕头,25,0,14,0,2020-02-17
江门,23,0,5,0,2020-02-17
惠州,58,0,34,0,2020-02-17
中山,66,0,39,0,2020-02-17
珠海,97,0,41,0,2020-02-17
东莞,89,0,19,1,2020-02-17
广州,339,0,132,0,2020-02-17
深圳,415,0,152,2,2020-02-17
清远,12,0,9,0,2020-02-17
佛山,84,0,23,0,2020-02-17
河源,4,0,1,0,2020-02-17
待明确地区,0,0,5,0,2020-02-17
清远,12,0,7,0,2020-02-16
待明确地区,0,0,11,0,2020-02-16
河源,3,0,1,0,2020-02-16
潮州,5,0,1,0,2020-02-16
汕尾,5,0,1,0,2020-02-16
揭阳,8,0,4,0,2020-02-16
韶关,10,0,4,0,2020-02-16
肇庆,17,0,8,1,2020-02-16
梅州,16,0,7,0,2020-02-16
茂名,13,0,3,0,2020-02-16
湛江,22,0,11,0,2020-02-16
汕头,25,0,13,0,2020-02-16
江门,23,0,3,0,2020-02-16
中山,65,0,34,0,2020-02-16
惠州,58,0,26,0,2020-02-16
珠海,96,0,37,0,2020-02-16
佛山,84,0,23,0,2020-02-16
东莞,89,0,12,1,2020-02-16
广州,338,0,121,0,2020-02-16
深圳,414,0,131,0,2020-02-16
阳江,13,0,7,0,2020-02-16
潮州,5,0,1,0,2020-02-15
河源,3,0,1,0,2020-02-15
揭阳,8,0,4,0,2020-02-15
汕尾,5,0,1,0,2020-02-15
茂名,13,0,3,0,2020-02-15
清远,12,0,7,0,2020-02-15
江门,22,0,3,0,2020-02-15
韶关,10,0,4,0,2020-02-15
广州,335,0,106,0,2020-02-15
东莞,81,0,7,1,2020-02-15
珠海,95,0,34,0,2020-02-15
中山,65,0,31,0,2020-02-15
惠州,58,0,26,0,2020-02-15
佛山,84,0,23,0,2020-02-15
汕头,25,0,11,0,2020-02-15
湛江,22,0,11,0,2020-02-15
深圳,406,0,115,0,2020-02-15
肇庆,17,0,8,1,2020-02-15
梅州,15,0,7,0,2020-02-15
阳江,13,0,7,0,2020-02-15
待明确地区,0,0,8,0,2020-02-15
茂名,13,0,3,0,2020-02-14
汕尾,5,0,1,0,2020-02-14
揭阳,8,0,4,0,2020-02-14
潮州,5,0,0,0,2020-02-14
韶关,8,0,3,0,2020-02-14
清远,12,0,7,0,2020-02-14
梅州,14,0,7,0,2020-02-14
阳江,13,0,5,0,2020-02-14
肇庆,17,0,7,1,2020-02-14
湛江,22,0,11,0,2020-02-14
待明确地区,0,0,4,0,2020-02-14
汕头,25,0,9,0,2020-02-14
江门,22,0,3,0,2020-02-14
惠州,56,0,18,0,2020-02-14
中山,64,0,26,0,2020-02-14
佛山,82,0,22,0,2020-02-14
珠海,91,0,27,0,2020-02-14
东莞,73,0,7,1,2020-02-14
河源,3,0,1,0,2020-02-14
广州,328,0,93,0,2020-02-14
深圳,400,0,104,0,2020-02-14
清远,12,0,5,0,2020-02-13
肇庆,16,0,7,1,2020-02-13
茂名,13,0,2,0,2020-02-13
汕头,25,0,8,0,2020-02-13
江门,22,0,4,0,2020-02-13
惠州,55,0,14,0,2020-02-13
中山,64,0,22,0,2020-02-13
珠海,89,0,27,0,2020-02-13
东莞,70,0,7,0,2020-02-13
佛山,81,0,17,0,2020-02-13
广州,327,0,78,0,2020-02-13
深圳,391,0,94,0,2020-02-13
湛江,21,0,11,0,2020-02-13
阳江,13,0,5,0,2020-02-13
梅州,13,0,5,0,2020-02-13
待明确地区,0,0,0,1,2020-02-13
韶关,8,0,3,0,2020-02-13
揭阳,8,0,3,0,2020-02-13
汕尾,5,0,1,0,2020-02-13
河源,3,0,1,0,2020-02-13
潮州,5,0,0,0,2020-02-13
汕头,25,0,8,0,2020-02-12
阳江,13,0,5,0,2020-02-12
深圳,386,0,82,0,2020-02-12
广州,323,0,71,0,2020-02-12
珠海,87,0,21,0,2020-02-12
佛山,78,0,17,0,2020-02-12
东莞,67,0,7,0,2020-02-12
中山,62,0,21,0,2020-02-12
惠州,54,0,4,0,2020-02-12
湛江,21,0,9,0,2020-02-12
江门,21,0,4,0,2020-02-12
肇庆,16,0,7,1,2020-02-12
梅州,13,0,5,0,2020-02-12
茂名,13,0,1,0,2020-02-12
清远,12,0,5,0,2020-02-12
揭阳,8,0,3,0,2020-02-12
韶关,7,0,3,0,2020-02-12
汕尾,5,0,1,0,2020-02-12
潮州,5,0,0,0,2020-02-12
河源,3,0,1,0,2020-02-12
