name,confirmed,suspected,discharged,deceased,updatedAtDate
钦州,8.0,0.0,8.0,0.0,2020-04-02
境外输入,2.0,0.0,2.0,0.0,2020-04-02
百色,3.0,0.0,3.0,0.0,2020-04-02
贺州,4.0,0.0,4.0,0.0,2020-04-02
梧州,5.0,0.0,5.0,0.0,2020-04-02
贵港,8.0,0.0,8.0,0.0,2020-04-02
北海,44.0,0.0,43.0,1.0,2020-04-02
来宾,11.0,0.0,11.0,0.0,2020-04-02
防城港,19.0,0.0,19.0,0.0,2020-04-02
柳州,24.0,0.0,24.0,0.0,2020-04-02
河池,28.0,0.0,27.0,1.0,2020-04-02
桂林,32.0,0.0,32.0,0.0,2020-04-02
南宁,55.0,0.0,55.0,0.0,2020-04-02
玉林,11.0,0.0,11.0,0.0,2020-04-02
防城港,19.0,0.0,19.0,0.0,2020-03-20
河池,28.0,0.0,27.0,1.0,2020-03-20
桂林,32.0,0.0,32.0,0.0,2020-03-20
北海,44.0,0.0,43.0,1.0,2020-03-20
南宁,55.0,0.0,55.0,0.0,2020-03-20
境外输入人员,2.0,0.0,0.0,0.0,2020-03-20
柳州,24.0,0.0,24.0,0.0,2020-03-20
玉林,11.0,0.0,11.0,0.0,2020-03-20
来宾,11.0,0.0,11.0,0.0,2020-03-20
百色,3.0,0.0,3.0,0.0,2020-03-20
贺州,4.0,0.0,4.0,0.0,2020-03-20
梧州,5.0,0.0,5.0,0.0,2020-03-20
贵港,8.0,0.0,8.0,0.0,2020-03-20
钦州,8.0,0.0,8.0,0.0,2020-03-20
玉林,11.0,0.0,11.0,0.0,2020-03-18
钦州,8.0,0.0,8.0,0.0,2020-03-18
贵港,8.0,0.0,8.0,0.0,2020-03-18
梧州,5.0,0.0,5.0,0.0,2020-03-18
贺州,4.0,0.0,4.0,0.0,2020-03-18
百色,3.0,0.0,3.0,0.0,2020-03-18
来宾,11.0,0.0,11.0,0.0,2020-03-18
防城港,19.0,0.0,19.0,0.0,2020-03-18
柳州,24.0,0.0,24.0,0.0,2020-03-18
境外输入人员,1.0,0.0,0.0,0.0,2020-03-18
南宁,55.0,0.0,55.0,0.0,2020-03-18
北海,44.0,0.0,43.0,1.0,2020-03-18
桂林,32.0,0.0,32.0,0.0,2020-03-18
河池,28.0,0.0,27.0,1.0,2020-03-18
来宾,11.0,0.0,11.0,0.0,2020-03-17
桂林,32.0,0.0,32.0,0.0,2020-03-17
河池,28.0,0.0,27.0,1.0,2020-03-17
柳州,24.0,0.0,24.0,0.0,2020-03-17
玉林,11.0,0.0,11.0,0.0,2020-03-17
贺州,4.0,0.0,4.0,0.0,2020-03-17
钦州,8.0,0.0,8.0,0.0,2020-03-17
贵港,8.0,0.0,8.0,0.0,2020-03-17
梧州,5.0,0.0,5.0,0.0,2020-03-17
百色,3.0,0.0,3.0,0.0,2020-03-17
境外输入人员,1.0,0.0,0.0,0.0,2020-03-17
南宁,55.0,0.0,55.0,0.0,2020-03-17
防城港,19.0,0.0,19.0,0.0,2020-03-17
北海,44.0,0.0,41.0,1.0,2020-03-17
百色,3.0,0.0,3.0,0.0,2020-03-16
贺州,4.0,0.0,4.0,0.0,2020-03-16
贵港,8.0,0.0,8.0,0.0,2020-03-16
梧州,5.0,0.0,5.0,0.0,2020-03-16
钦州,8.0,0.0,8.0,0.0,2020-03-16
来宾,11.0,0.0,11.0,0.0,2020-03-16
玉林,11.0,0.0,11.0,0.0,2020-03-16
防城港,19.0,0.0,19.0,0.0,2020-03-16
柳州,24.0,0.0,24.0,0.0,2020-03-16
河池,28.0,0.0,27.0,1.0,2020-03-16
桂林,32.0,0.0,32.0,0.0,2020-03-16
南宁,55.0,0.0,55.0,0.0,2020-03-16
北海,44.0,0.0,41.0,1.0,2020-03-16
待明确地区,0.0,0.0,4.0,0.0,2020-03-16
河池,28.0,0.0,27.0,1.0,2020-03-13
南宁,55.0,0.0,54.0,0.0,2020-03-13
北海,44.0,0.0,42.0,1.0,2020-03-13
柳州,24.0,0.0,23.0,0.0,2020-03-13
桂林,32.0,0.0,32.0,0.0,2020-03-13
贺州,4.0,0.0,4.0,0.0,2020-03-13
玉林,11.0,0.0,11.0,0.0,2020-03-13
