name,confirmed,suspected,discharged,deceased,updatedAtDate
安顺,4.0,0.0,4.0,0.0,2020-03-18
贵阳,36.0,0.0,35.0,1.0,2020-03-18
遵义,32.0,0.0,32.0,0.0,2020-03-18
毕节,23.0,0.0,23.0,0.0,2020-03-18
黔南州,17.0,0.0,17.0,0.0,2020-03-18
六盘水,10.0,0.0,9.0,1.0,2020-03-18
铜仁,10.0,0.0,10.0,0.0,2020-03-18
黔东南州,10.0,0.0,10.0,0.0,2020-03-18
黔西南州,4.0,0.0,4.0,0.0,2020-03-18
安顺,4.0,0.0,4.0,0.0,2020-03-17
贵阳,37.0,0.0,35.0,1.0,2020-03-17
遵义,32.0,0.0,32.0,0.0,2020-03-17
毕节,23.0,0.0,23.0,0.0,2020-03-17
黔南州,17.0,0.0,17.0,0.0,2020-03-17
六盘水,10.0,0.0,9.0,1.0,2020-03-17
铜仁,10.0,0.0,10.0,0.0,2020-03-17
黔西南州,4.0,0.0,4.0,0.0,2020-03-17
黔东南州,10.0,0.0,10.0,0.0,2020-03-17
铜仁,10.0,0.0,10.0,0.0,2020-03-16
贵阳,36.0,0.0,35.0,1.0,2020-03-16
遵义,32.0,0.0,32.0,0.0,2020-03-16
毕节,23.0,0.0,23.0,0.0,2020-03-16
黔南州,17.0,0.0,17.0,0.0,2020-03-16
六盘水,10.0,0.0,9.0,1.0,2020-03-16
黔东南州,10.0,0.0,10.0,0.0,2020-03-16
安顺,4.0,0.0,4.0,0.0,2020-03-16
黔西南州,4.0,0.0,4.0,0.0,2020-03-16
贵阳,36.0,0.0,34.0,1.0,2020-03-14
铜仁,10.0,0.0,10.0,0.0,2020-03-14
遵义,32.0,0.0,32.0,0.0,2020-03-14
毕节,23.0,0.0,23.0,0.0,2020-03-14
黔南州,17.0,0.0,17.0,0.0,2020-03-14
六盘水,10.0,0.0,9.0,1.0,2020-03-14
黔东南州,10.0,0.0,10.0,0.0,2020-03-14
安顺,4.0,0.0,4.0,0.0,2020-03-14
黔西南州,4.0,0.0,4.0,0.0,2020-03-14
贵阳,36.0,0.0,33.0,1.0,2020-03-13
毕节,23.0,0.0,23.0,0.0,2020-03-13
六盘水,10.0,0.0,8.0,1.0,2020-03-13
遵义,32.0,0.0,31.0,0.0,2020-03-13
黔南州,17.0,0.0,17.0,0.0,2020-03-13
铜仁,10.0,0.0,10.0,0.0,2020-03-13
黔东南州,10.0,0.0,10.0,0.0,2020-03-13
黔西南州,4.0,0.0,4.0,0.0,2020-03-13
安顺,4.0,0.0,4.0,0.0,2020-03-13
铜仁,10.0,0.0,10.0,0.0,2020-03-12
黔西南州,4.0,0.0,4.0,0.0,2020-03-12
安顺,4.0,0.0,4.0,0.0,2020-03-12
黔东南州,10.0,0.0,10.0,0.0,2020-03-12
贵阳,36.0,0.0,32.0,1.0,2020-03-12
黔南州,17.0,0.0,17.0,0.0,2020-03-12
遵义,32.0,0.0,31.0,0.0,2020-03-12
毕节,23.0,0.0,21.0,0.0,2020-03-12
六盘水,10.0,0.0,8.0,1.0,2020-03-12
铜仁,10.0,0.0,10.0,0.0,2020-03-11
黔西南州,4.0,0.0,4.0,0.0,2020-03-11
安顺,4.0,0.0,4.0,0.0,2020-03-11
黔东南州,10.0,0.0,10.0,0.0,2020-03-11
六盘水,10.0,0.0,8.0,1.0,2020-03-11
毕节,23.0,0.0,21.0,0.0,2020-03-11
遵义,32.0,0.0,29.0,0.0,2020-03-11
贵阳,36.0,0.0,31.0,1.0,2020-03-11
黔南州,17.0,0.0,16.0,0.0,2020-03-11
六盘水,10.0,0.0,8.0,1.0,2020-03-10
黔西南州,4.0,0.0,4.0,0.0,2020-03-10
安顺,4.0,0.0,4.0,0.0,2020-03-10
黔东南州,10.0,0.0,10.0,0.0,2020-03-10
铜仁,10.0,0.0,10.0,0.0,2020-03-10
黔南州,17.0,0.0,16.0,0.0,2020-03-10
毕节,23.0,0.0,20.0,0.0,2020-03-10
遵义,32.0,0.0,28.0,0.0,2020-03-10
贵阳,36.0,0.0,29.0,1.0,2020-03-10
黔南州,17.0,0.0,16.0,0.0,2020-03-09
安顺,4.0,0.0,4.0,0.0,2020-03-09
黔西南州,4.0,0.0,4.0,0.0,2020-03-09
黔东南州,10.0,0.0,10.0,0.0,2020-03-09
铜仁,10.0,0.0,10.0,0.0,2020-03-09
六盘水,10.0,0.0,8.0,1.0,2020-03-09
毕节,23.0,0.0,19.0,0.0,2020-03-09
贵阳,36.0,0.0,28.0,1.0,2020-03-09
遵义,32.0,0.0,24.0,0.0,2020-03-09
黔西南州,4.0,0.0,4.0,0.0,2020-03-08
安顺,4.0,0.0,4.0,0.0,2020-03-08
毕节,23.0,0.0,17.0,0.0,2020-03-08
黔东南州,10.0,0.0,10.0,0.0,2020-03-08
六盘水,10.0,0.0,8.0,1.0,2020-03-08
黔南州,17.0,0.0,15.0,0.0,2020-03-08
铜仁,10.0,0.0,10.0,0.0,2020-03-08
贵阳,36.0,0.0,28.0,1.0,2020-03-08
遵义,32.0,0.0,21.0,0.0,2020-03-08
铜仁,10.0,0.0,10.0,0.0,2020-03-07
遵义,32.0,0.0,20.0,0.0,2020-03-07
贵阳,36.0,0.0,28.0,1.0,2020-03-07
毕节,23.0,0.0,16.0,0.0,2020-03-07
黔南州,17.0,0.0,15.0,0.0,2020-03-07
黔东南州,10.0,0.0,10.0,0.0,2020-03-07
安顺,4.0,0.0,4.0,0.0,2020-03-07
黔西南州,4.0,0.0,4.0,0.0,2020-03-07
六盘水,10.0,0.0,8.0,1.0,2020-03-07
六盘水,10.0,0.0,8.0,1.0,2020-03-02
黔西南州,4.0,0.0,4.0,0.0,2020-03-02
安顺,4.0,0.0,4.0,0.0,2020-03-02
铜仁,10.0,0.0,10.0,0.0,2020-03-02
