name,confirmed,suspected,discharged,deceased,updatedAtDate
临高,6.0,0.0,6.0,0.0,2020-06-15
琼中,1.0,0.0,1.0,0.0,2020-06-15
乐东,2.0,0.0,2.0,0.0,2020-06-15
保亭,3.0,0.0,3.0,0.0,2020-06-15
文昌,3.0,0.0,3.0,0.0,2020-06-15
定安,3.0,0.0,2.0,1.0,2020-06-15
陵水,4.0,0.0,4.0,0.0,2020-06-15
东方,3.0,0.0,2.0,1.0,2020-06-15
琼海,6.0,0.0,5.0,1.0,2020-06-15
儋州,15.0,0.0,14.0,1.0,2020-06-15
昌江,7.0,0.0,7.0,0.0,2020-06-15
海口,39.0,0.0,39.0,0.0,2020-06-15
三亚,57.0,0.0,54.0,1.0,2020-06-15
万宁,13.0,0.0,13.0,0.0,2020-06-15
澄迈,9.0,0.0,8.0,1.0,2020-06-15
琼海,6.0,0.0,5.0,1.0,2020-06-13
三亚,57.0,0.0,53.0,1.0,2020-06-13
海口,39.0,0.0,39.0,0.0,2020-06-13
儋州,15.0,0.0,14.0,1.0,2020-06-13
万宁,13.0,0.0,13.0,0.0,2020-06-13
澄迈,9.0,0.0,8.0,1.0,2020-06-13
昌江,7.0,0.0,7.0,0.0,2020-06-13
临高,6.0,0.0,6.0,0.0,2020-06-13
琼中,1.0,0.0,1.0,0.0,2020-06-13
陵水,4.0,0.0,4.0,0.0,2020-06-13
定安,3.0,0.0,2.0,1.0,2020-06-13
文昌,3.0,0.0,3.0,0.0,2020-06-13
东方,3.0,0.0,2.0,1.0,2020-06-13
保亭,3.0,0.0,3.0,0.0,2020-06-13
乐东,2.0,0.0,2.0,0.0,2020-06-13
陵水,4.0,0.0,4.0,0.0,2020-06-07
万宁,13.0,0.0,13.0,0.0,2020-06-07
澄迈,9.0,0.0,8.0,1.0,2020-06-07
昌江,7.0,0.0,7.0,0.0,2020-06-07
琼海,6.0,0.0,5.0,1.0,2020-06-07
临高,6.0,0.0,6.0,0.0,2020-06-07
东方,3.0,0.0,2.0,1.0,2020-06-07
定安,3.0,0.0,2.0,1.0,2020-06-07
文昌,3.0,0.0,3.0,0.0,2020-06-07
保亭,3.0,0.0,3.0,0.0,2020-06-07
海口,39.0,0.0,39.0,0.0,2020-06-07
乐东,2.0,0.0,2.0,0.0,2020-06-07
琼中,1.0,0.0,1.0,0.0,2020-06-07
儋州,15.0,0.0,14.0,1.0,2020-06-07
三亚,56.0,0.0,53.0,1.0,2020-06-07
陵水,4.0,0.0,4.0,0.0,2020-05-29
琼中,1.0,0.0,1.0,0.0,2020-05-29
乐东,2.0,0.0,2.0,0.0,2020-05-29
保亭,3.0,0.0,3.0,0.0,2020-05-29
文昌,3.0,0.0,3.0,0.0,2020-05-29
定安,3.0,0.0,2.0,1.0,2020-05-29
东方,3.0,0.0,2.0,1.0,2020-05-29
临高,6.0,0.0,6.0,0.0,2020-05-29
昌江,7.0,0.0,7.0,0.0,2020-05-29
澄迈,9.0,0.0,8.0,1.0,2020-05-29
万宁,13.0,0.0,13.0,0.0,2020-05-29
儋州,15.0,0.0,14.0,1.0,2020-05-29
海口,39.0,0.0,39.0,0.0,2020-05-29
三亚,55.0,0.0,54.0,1.0,2020-05-29
琼海,6.0,0.0,5.0,1.0,2020-05-29
文昌,3.0,0.0,3.0,0.0,2020-05-15
琼中,1.0,0.0,1.0,0.0,2020-05-15
乐东,2.0,0.0,2.0,0.0,2020-05-15
保亭,3.0,0.0,3.0,0.0,2020-05-15
东方,3.0,0.0,2.0,1.0,2020-05-15
昌江,7.0,0.0,7.0,0.0,2020-05-15
定安,3.0,0.0,2.0,1.0,2020-05-15
临高,6.0,0.0,6.0,0.0,2020-05-15
琼海,6.0,0.0,5.0,1.0,2020-05-15
澄迈,9.0,0.0,8.0,1.0,2020-05-15
万宁,13.0,0.0,13.0,0.0,2020-05-15
儋州,15.0,0.0,14.0,1.0,2020-05-15
海口,39.0,0.0,39.0,0.0,2020-05-15
三亚,55.0,0.0,53.0,1.0,2020-05-15
陵水,4.0,0.0,4.0,0.0,2020-05-15
陵水,4.0,0.0,4.0,0.0,2020-03-24
海口,39.0,0.0,38.0,0.0,2020-03-24
儋州,15.0,0.0,14.0,1.0,2020-03-24
万宁,13.0,0.0,13.0,0.0,2020-03-24
澄迈,9.0,0.0,8.0,1.0,2020-03-24
昌江,7.0,0.0,7.0,0.0,2020-03-24
琼海,6.0,0.0,5.0,1.0,2020-03-24
临高,6.0,0.0,6.0,0.0,2020-03-24
定安,3.0,0.0,2.0,1.0,2020-03-24
文昌,3.0,0.0,3.0,0.0,2020-03-24
东方,3.0,0.0,2.0,1.0,2020-03-24
保亭,3.0,0.0,3.0,0.0,2020-03-24
乐东,2.0,0.0,2.0,0.0,2020-03-24
琼中,1.0,0.0,1.0,0.0,2020-03-24
三亚,54.0,0.0,54.0,1.0,2020-03-24
待明确地区,0.0,0.0,1.0,0.0,2020-03-16
保亭,3.0,0.0,3.0,0.0,2020-03-16
乐东,2.0,0.0,2.0,0.0,2020-03-16
文昌,3.0,0.0,3.0,0.0,2020-03-16
琼中,1.0,0.0,1.0,0.0,2020-03-16
东方,3.0,0.0,2.0,1.0,2020-03-16
儋州,15.0,0.0,13.0,1.0,2020-03-16
定安,3.0,0.0,2.0,1.0,2020-03-16
陵水,4.0,0.0,4.0,0.0,2020-03-16
临高,6.0,0.0,6.0,0.0,2020-03-16
琼海,6.0,0.0,5.0,1.0,2020-03-16
昌江,7.0,0.0,7.0,0.0,2020-03-16
澄迈,9.0,0.0,8.0,1.0,2020-03-16
万宁,13.0,0.0,13.0,0.0,2020-03-16
三亚,54.0,0.0,53.0,1.0,2020-03-16
海口,39.0,0.0,38.0,0.0,2020-03-16
三亚,54.0,0.0,53.0,1.0,2020-03-12
海口,39.0,0.0,38.0,0.0,2020-03-12
儋州,15.0,0.0,13.0,1.0,2020-03-12
万宁,13.0,0.0,13.0,0.0,2020-03-12
澄迈,9.0,0.0,8.0,1.0,2020-03-12
昌江,7.0,0.0,7.0,0.0,2020-03-12
琼海,6.0,0.0,5.0,1.0,2020-03-12
临高,6.0,0.0,6.0,0.0,2020-03-12
