name,confirmed,suspected,discharged,deceased,updatedAtDate
承德,7,0,1,0,2020-02-13
衡水,8,0,2,0,2020-02-13
秦皇岛,9,0,2,0,2020-02-13
邢台,21,0,5,1,2020-02-13
张家口,25,0,3,0,2020-02-13
石家庄,27,0,4,0,2020-02-13
廊坊,29,0,11,0,2020-02-13
邯郸,31,0,5,0,2020-02-13
保定,31,0,11,0,2020-02-13
唐山,35,0,4,0,2020-02-13
沧州,42,0,12,2,2020-02-13
保定,31,0,11,0,2020-02-12
沧州,37,0,12,1,2020-02-12
承德,7,0,1,0,2020-02-12
秦皇岛,9,0,1,0,2020-02-12
张家口,21,0,3,0,2020-02-12
邢台,21,0,5,1,2020-02-12
石家庄,27,0,3,0,2020-02-12
廊坊,28,0,8,0,2020-02-12
邯郸,29,0,5,0,2020-02-12
唐山,33,0,3,0,2020-02-12
衡水,8,0,2,0,2020-02-12
沧州,32,0,12,1,2020-02-11
唐山,31,0,3,0,2020-02-11
保定,30,0,9,0,2020-02-11
邯郸,27,0,3,0,2020-02-11
石家庄,27,0,3,0,2020-02-11
廊坊,26,0,8,0,2020-02-11
邢台,21,0,5,1,2020-02-11
张家口,21,0,2,0,2020-02-11
秦皇岛,9,0,0,0,2020-02-11
衡水,8,0,2,0,2020-02-11
承德,7,0,1,0,2020-02-11
保定,26,0,9,0,2020-02-10
沧州,28,0,10,1,2020-02-10
唐山,28,0,2,0,2020-02-10
邯郸,27,0,3,0,2020-02-10
石家庄,25,0,3,0,2020-02-10
廊坊,24,0,5,0,2020-02-10
邢台,21,0,4,1,2020-02-10
张家口,17,0,2,0,2020-02-10
衡水,8,0,2,0,2020-02-10
承德,7,0,1,0,2020-02-10
秦皇岛,7,0,0,0,2020-02-10
保定,21,0,8,0,2020-02-09
沧州,28,0,8,1,2020-02-09
邯郸,27,0,2,0,2020-02-09
唐山,27,0,2,0,2020-02-09
廊坊,22,0,4,0,2020-02-09
石家庄,24,0,3,0,2020-02-09
邢台,21,0,4,1,2020-02-09
张家口,14,0,2,0,2020-02-09
衡水,8,0,0,0,2020-02-09
承德,7,0,1,0,2020-02-09
秦皇岛,7,0,0,0,2020-02-09
廊坊,20,0,4,0,2020-02-08
邯郸,26,0,2,0,2020-02-08
石家庄,24,0,3,0,2020-02-08
唐山,23,0,2,0,2020-02-08
邢台,21,0,4,0,2020-02-08
衡水,7,0,0,0,2020-02-08
保定,18,0,8,0,2020-02-08
张家口,14,0,1,0,2020-02-08
承德,7,0,0,0,2020-02-08
秦皇岛,7,0,0,0,2020-02-08
沧州,28,0,6,1,2020-02-08
邢台,20,0,2,0,2020-02-07
石家庄,24,0,3,0,2020-02-07
沧州,23,0,4,1,2020-02-07
秦皇岛,5,0,0,0,2020-02-07
邯郸,22,0,2,0,2020-02-07
唐山,19,0,2,0,2020-02-07
保定,18,0,4,0,2020-02-07
廊坊,15,0,4,0,2020-02-07
张家口,13,0,1,0,2020-02-07
衡水,7,0,0,0,2020-02-07
承德,6,0,0,0,2020-02-07
秦皇岛,3,0,0,0,2020-02-06
承德,5,0,0,0,2020-02-06
唐山,17,0,0,0,2020-02-06
张家口,12,0,1,0,2020-02-06
廊坊,14,0,1,0,2020-02-06
衡水,7,0,0,0,2020-02-06
保定,17,0,4,0,2020-02-06
邢台,19,0,0,0,2020-02-06
沧州,21,0,2,1,2020-02-06
石家庄,24,0,3,0,2020-02-06
邯郸,18,0,2,0,2020-02-06
秦皇岛,3,0,0,0,2020-02-05
廊坊,13,0,1,0,2020-02-05
承德,4,0,0,0,2020-02-05
张家口,10,0,0,0,2020-02-05
唐山,12,0,0,0,2020-02-05
衡水,5,0,0,0,2020-02-05
邯郸,14,0,0,0,2020-02-05
石家庄,21,0,1,0,2020-02-05
保定,17,0,4,0,2020-02-05
沧州,20,0,0,1,2020-02-05
邢台,16,0,0,0,2020-02-05
秦皇岛,2,0,0,0,2020-02-04
承德,3,0,0,0,2020-02-04
衡水,5,0,0,0,2020-02-04
唐山,11,0,0,0,2020-02-04
廊坊,12,0,1,0,2020-02-04
保定,13,0,2,0,2020-02-04
