name,confirmed,suspected,discharged,deceased,updatedAtDate
济源,4,0,0,0,2020-02-16
待明确地区,0,0,0,3,2020-02-16
三门峡,7,0,4,0,2020-02-16
鹤壁,19,0,5,0,2020-02-16
濮阳,17,0,2,0,2020-02-16
洛阳,31,0,10,0,2020-02-16
开封,26,0,7,0,2020-02-16
焦作,30,0,7,1,2020-02-16
漯河,34,0,12,0,2020-02-16
驻马店,138,0,64,0,2020-02-16
安阳,51,0,18,0,2020-02-16
平顶山,58,0,20,1,2020-02-16
新乡,56,0,12,2,2020-02-16
周口,71,0,25,0,2020-02-16
商丘,91,0,30,2,2020-02-16
许昌,38,0,8,0,2020-02-16
郑州,148,0,66,0,2020-02-16
信阳,261,0,74,2,2020-02-16
南阳,151,0,57,2,2020-02-16
濮阳,17,0,2,0,2020-02-15
待明确地区,0,0,0,3,2020-02-15
三门峡,7,0,4,0,2020-02-15
济源,4,0,0,0,2020-02-15
鹤壁,19,0,4,0,2020-02-15
开封,25,0,6,0,2020-02-15
驻马店,138,0,59,0,2020-02-15
洛阳,31,0,9,0,2020-02-15
焦作,30,0,6,1,2020-02-15
漯河,34,0,9,0,2020-02-15
许昌,37,0,7,0,2020-02-15
安阳,51,0,18,0,2020-02-15
平顶山,58,0,20,1,2020-02-15
新乡,55,0,10,2,2020-02-15
周口,70,0,25,0,2020-02-15
商丘,90,0,30,2,2020-02-15
郑州,144,0,66,0,2020-02-15
南阳,150,0,52,2,2020-02-15
信阳,252,0,64,2,2020-02-15
信阳,243,0,60,1,2020-02-14
漯河,33,0,9,0,2020-02-14
待明确地区,0,0,0,2,2020-02-14
三门峡,7,0,4,0,2020-02-14
南阳,146,0,45,2,2020-02-14
济源,4,0,0,0,2020-02-14
濮阳,13,0,1,0,2020-02-14
鹤壁,19,0,4,0,2020-02-14
开封,25,0,8,0,2020-02-14
焦作,29,0,5,1,2020-02-14
洛阳,30,0,8,0,2020-02-14
许昌,37,0,6,0,2020-02-14
安阳,50,0,16,0,2020-02-14
平顶山,57,0,19,1,2020-02-14
