name,confirmed,suspected,discharged,deceased,updatedAtDate
七台河,17,0,10,0,2020-02-23
大兴安岭,2,0,2,0,2020-02-23
佳木斯,15,0,15,0,2020-02-23
伊春,1,0,0,0,2020-02-23
黑河,14,0,9,0,2020-02-23
牡丹江,14,0,7,0,2020-02-23
鹤岗,5,0,4,0,2020-02-23
绥化,47,0,29,4,2020-02-23
大庆,26,0,8,1,2020-02-23
哈尔滨,198,0,77,3,2020-02-23
齐齐哈尔,43,0,23,1,2020-02-23
鸡西,46,0,18,0,2020-02-23
双鸭山,52,0,20,3,2020-02-23
佳木斯,15,0,15,0,2020-02-22
绥化,47,0,29,4,2020-02-22
鹤岗,5,0,2,0,2020-02-22
黑河,14,0,9,0,2020-02-22
牡丹江,14,0,7,0,2020-02-22
七台河,17,0,9,0,2020-02-22
双鸭山,52,0,19,3,2020-02-22
大庆,26,0,8,1,2020-02-22
齐齐哈尔,43,0,22,1,2020-02-22
鸡西,46,0,5,0,2020-02-22
哈尔滨,197,0,77,3,2020-02-22
伊春,1,0,0,0,2020-02-22
大兴安岭,2,0,2,0,2020-02-22
鸡西,46,0,3,0,2020-02-21
哈尔滨,197,0,76,3,2020-02-21
齐齐哈尔,43,0,16,1,2020-02-21
双鸭山,52,0,16,3,2020-02-21
绥化,47,0,26,4,2020-02-21
大庆,26,0,8,1,2020-02-21
大兴安岭,2,0,2,0,2020-02-21
伊春,1,0,0,0,2020-02-21
佳木斯,15,0,14,0,2020-02-21
鹤岗,5,0,2,0,2020-02-21
黑河,14,0,4,0,2020-02-21
七台河,17,0,6,0,2020-02-21
牡丹江,14,0,2,0,2020-02-21
七台河,17,0,6,0,2020-02-20
黑河,14,0,3,0,2020-02-20
鹤岗,5,0,2,0,2020-02-20
佳木斯,15,0,14,0,2020-02-20
伊春,1,0,0,0,2020-02-20
大兴安岭,2,0,2,0,2020-02-20
大庆,26,0,8,1,2020-02-20
牡丹江,14,0,1,0,2020-02-20
绥化,47,0,20,4,2020-02-20
齐齐哈尔,43,0,11,1,2020-02-20
双鸭山,52,0,11,3,2020-02-20
哈尔滨,194,0,55,3,2020-02-20
鸡西,46,0,3,0,2020-02-20
大兴安岭,2,0,2,0,2020-02-19
伊春,1,0,0,0,2020-02-19
鹤岗,5,0,2,0,2020-02-19
佳木斯,15,0,12,0,2020-02-19
黑河,14,0,3,0,2020-02-19
七台河,17,0,6,0,2020-02-19
牡丹江,13,0,1,0,2020-02-19
大庆,23,0,7,1,2020-02-19
绥化,47,0,18,4,2020-02-19
齐齐哈尔,43,0,10,1,2020-02-19
双鸭山,52,0,8,3,2020-02-19
鸡西,46,0,3,0,2020-02-19
哈尔滨,192,0,48,3,2020-02-19
佳木斯,15,0,11,0,2020-02-18
伊春,1,0,0,0,2020-02-18
大兴安岭,2,0,1,0,2020-02-18
鹤岗,5,0,2,0,2020-02-18
大庆,20,0,7,1,2020-02-18
七台河,17,0,6,0,2020-02-18
牡丹江,13,0,1,0,2020-02-18
黑河,14,0,0,0,2020-02-18
待明确地区,0,0,4,0,2020-02-18
绥化,46,0,16,4,2020-02-18
齐齐哈尔,43,0,10,1,2020-02-18
鸡西,46,0,2,0,2020-02-18
双鸭山,52,0,4,2,2020-02-18
哈尔滨,190,0,47,3,2020-02-18
伊春,1,0,0,0,2020-02-17
大兴安岭,2,0,1,0,2020-02-17
鹤岗,5,0,2,0,2020-02-17
佳木斯,15,0,11,0,2020-02-17
七台河,16,0,4,0,2020-02-17
牡丹江,12,0,1,0,2020-02-17
黑河,14,0,0,0,2020-02-17
大庆,20,0,4,1,2020-02-17
绥化,46,0,14,4,2020-02-17
齐齐哈尔,42,0,10,1,2020-02-17
鸡西,46,0,2,0,2020-02-17
双鸭山,50,0,4,2,2020-02-17
哈尔滨,188,0,32,3,2020-02-17
伊春,1,0,0,0,2020-02-16
大兴安岭,2,0,1,0,2020-02-16
佳木斯,15,0,11,0,2020-02-16
鹤岗,5,0,2,0,2020-02-16
牡丹江,12,0,1,0,2020-02-16
七台河,16,0,4,0,2020-02-16
双鸭山,49,0,1,2,2020-02-16
大庆,19,0,3,1,2020-02-16
齐齐哈尔,38,0,8,1,2020-02-16
绥化,46,0,13,4,2020-02-16
鸡西,46,0,2,0,2020-02-16
黑河,14,0,0,0,2020-02-16
哈尔滨,182,0,33,3,2020-02-16
七台河,16,0,4,0,2020-02-15
伊春,1,0,0,0,2020-02-15
大兴安岭,2,0,0,0,2020-02-15
鹤岗,5,0,2,0,2020-02-15
佳木斯,15,0,7,0,2020-02-15
牡丹江,12,0,1,0,2020-02-15
黑河,13,0,0,0,2020-02-15
齐齐哈尔,36,0,8,1,2020-02-15
绥化,46,0,12,4,2020-02-15
鸡西,45,0,1,0,2020-02-15
双鸭山,48,0,1,2,2020-02-15
大庆,19,0,2,1,2020-02-15
哈尔滨,167,0,30,3,2020-02-15
黑河,13,0,0,0,2020-02-14
伊春,1,0,0,0,2020-02-14
大兴安岭,2,0,0,0,2020-02-14
鹤岗,5,0,2,0,2020-02-14
佳木斯,15,0,7,0,2020-02-14
牡丹江,12,0,1,0,2020-02-14
七台河,16,0,1,0,2020-02-14
齐齐哈尔,36,0,8,1,2020-02-14
绥化,45,0,7,4,2020-02-14
鸡西,44,0,1,0,2020-02-14
双鸭山,48,0,1,2,2020-02-14
大庆,18,0,1,1,2020-02-14
哈尔滨,164,0,18,3,2020-02-14
哈尔滨,159,0,15,1,2020-02-13
鸡西,44,0,1,0,2020-02-13
绥化,45,0,3,4,2020-02-13
双鸭山,39,0,1,2,2020-02-13
大兴安岭,2,0,0,0,2020-02-13
鹤岗,5,0,1,0,2020-02-13
黑河,10,0,0,0,2020-02-13
佳木斯,15,0,5,0,2020-02-13
牡丹江,12,0,1,0,2020-02-13
大庆,15,0,1,1,2020-02-13
七台河,16,0,1,0,2020-02-13
齐齐哈尔,33,0,4,1,2020-02-13
黑河,6,0,0,0,2020-02-12
七台河,15,0,0,0,2020-02-12
牡丹江,12,0,1,0,2020-02-12
鹤岗,5,0,1,0,2020-02-12
大兴安岭,2,0,0,0,2020-02-12
大庆,15,0,0,1,2020-02-12
佳木斯,15,0,5,0,2020-02-12
齐齐哈尔,33,0,4,1,2020-02-12
双鸭山,39,0,1,2,2020-02-12
鸡西,43,0,1,0,2020-02-12
绥化,43,0,3,4,2020-02-12
哈尔滨,150,0,15,0,2020-02-12
齐齐哈尔,32,0,1,1,2020-02-11
哈尔滨,146,0,15,0,2020-02-11
绥化,39,0,3,4,2020-02-11
双鸭山,38,0,1,2,2020-02-11
鸡西,38,0,1,0,2020-02-11
佳木斯,15,0,5,0,2020-02-11
大庆,14,0,0,1,2020-02-11
七台河,15,0,0,0,2020-02-11
牡丹江,12,0,1,0,2020-02-11
鹤岗,5,0,1,0,2020-02-11
黑河,4,0,0,0,2020-02-11
大兴安岭,2,0,0,0,2020-02-11
七台河,14,0,0,0,2020-02-10
大兴安岭,2,0,0,0,2020-02-10
黑河,4,0,0,0,2020-02-10
鹤岗,5,0,1,0,2020-02-10
大庆,13,0,0,1,2020-02-10
牡丹江,12,0,1,0,2020-02-10
佳木斯,14,0,5,0,2020-02-10
鸡西,34,0,1,0,2020-02-10
绥化,37,0,6,3,2020-02-10
双鸭山,38,0,1,2,2020-02-10
哈尔滨,128,0,15,0,2020-02-10
齐齐哈尔,30,0,0,1,2020-02-10
佳木斯,13,0,1,0,2020-02-09
大兴安岭,2,0,0,0,2020-02-09
鹤岗,4,0,1,0,2020-02-09
牡丹江,12,0,1,0,2020-02-09
七台河,13,0,0,0,2020-02-09
黑河,2,0,0,0,2020-02-09
大庆,13,0,0,1,2020-02-09
鸡西,34,0,0,0,2020-02-09
绥化,35,0,1,3,2020-02-09
双鸭山,38,0,1,2,2020-02-09
哈尔滨,114,0,9,0,2020-02-09
齐齐哈尔,27,0,0,0,2020-02-09
大庆,13,0,0,1,2020-02-08
黑河,2,0,0,0,2020-02-08
鹤岗,3,0,0,0,2020-02-08
七台河,11,0,0,0,2020-02-08
佳木斯,13,0,1,0,2020-02-08
大兴安岭,2,0,0,0,2020-02-08
牡丹江,13,0,1,0,2020-02-08
鸡西,31,0,0,0,2020-02-08
双鸭山,36,0,1,2,2020-02-08
哈尔滨,100,0,9,0,2020-02-08
绥化,44,0,1,2,2020-02-08
齐齐哈尔,27,0,0,0,2020-02-08
待明确地区,1,0,0,0,2020-02-08
佳木斯,13,0,1,0,2020-02-07
黑河,1,0,0,0,2020-02-07
鹤岗,2,0,0,0,2020-02-07
大兴安岭,2,0,0,0,2020-02-07
牡丹江,11,0,0,0,2020-02-07
七台河,10,0,0,0,2020-02-07
大庆,13,0,0,1,2020-02-07
鸡西,29,0,0,0,2020-02-07
双鸭山,36,0,1,0,2020-02-07
绥化,39,0,1,2,2020-02-07
哈尔滨,94,0,9,0,2020-02-07
齐齐哈尔,27,0,0,0,2020-02-07
牡丹江,10,0,0,0,2020-02-06
黑河,1,0,0,0,2020-02-06
鹤岗,2,0,0,0,2020-02-06
大兴安岭,2,0,0,0,2020-02-06
七台河,9,0,0,0,2020-02-06
佳木斯,12,0,1,0,2020-02-06
大庆,13,0,0,1,2020-02-06
双鸭山,20,0,1,0,2020-02-06
鸡西,21,0,0,0,2020-02-06
齐齐哈尔,26,0,0,0,2020-02-06
绥化,29,0,0,2,2020-02-06
哈尔滨,82,0,6,0,2020-02-06
待明确地区,0,0,2,0,2020-02-06
佳木斯,11,0,0,0,2020-02-05
黑河,1,0,0,0,2020-02-05
鹤岗,2,0,0,0,2020-02-05
大兴安岭,2,0,0,0,2020-02-05
七台河,9,0,0,0,2020-02-05
牡丹江,9,0,0,0,2020-02-05
鸡西,12,0,0,0,2020-02-05
大庆,11,0,0,0,2020-02-05
双鸭山,16,0,1,0,2020-02-05
齐齐哈尔,20,0,0,0,2020-02-05
绥化,24,0,0,2,2020-02-05
哈尔滨,73,0,6,0,2020-02-05
哈尔滨,63,0,4,0,2020-02-04
七台河,8,0,0,0,2020-02-04
黑河,1,0,0,0,2020-02-04
鹤岗,2,0,0,0,2020-02-04
绥化,22,0,0,2,2020-02-04
齐齐哈尔,6,0,0,0,2020-02-04
