name,confirmed,suspected,discharged,deceased,updatedAtDate
鄂州,569,0,33,20,2020-02-08
神农架林区,10,0,2,0,2020-02-08
潜江,80,0,1,2,2020-02-08
恩施州,160,0,20,0,2020-02-08
天门,179,0,1,10,2020-02-08
仙桃,359,0,14,5,2020-02-08
十堰,438,0,40,0,2020-02-08
咸宁,476,0,16,2,2020-02-08
武汉,13603,0,747,545,2020-02-08
荆门,588,0,36,18,2020-02-08
宜昌,633,0,25,8,2020-02-08
黄石,703,0,48,2,2020-02-08
襄阳,907,0,34,5,2020-02-08
荆州,941,0,31,11,2020-02-08
随州,953,0,23,9,2020-02-08
黄冈,2041,0,105,36,2020-02-08
孝感,2313,0,42,26,2020-02-08
鄂州,471,0,9,18,2020-02-07
神农架林区,10,0,2,0,2020-02-07
潜江,74,0,0,1,2020-02-07
恩施州,157,0,13,0,2020-02-07
天门,163,0,1,10,2020-02-07
仙桃,307,0,11,5,2020-02-07
十堰,395,0,28,0,2020-02-07
咸宁,443,0,8,1,2020-02-07
武汉,11618,0,542,478,2020-02-07
荆门,553,0,24,17,2020-02-07
黄石,635,0,40,2,2020-02-07
襄阳,838,0,30,3,2020-02-07
荆州,885,0,24,10,2020-02-07
随州,915,0,9,9,2020-02-07
黄冈,1897,0,81,32,2020-02-07
孝感,2141,0,30,25,2020-02-07
宜昌,610,0,15,7,2020-02-07
荆门,508,0,21,17,2020-02-06
神农架林区,10,0,2,0,2020-02-06
潜江,64,0,0,1,2020-02-06
天门,138,0,1,10,2020-02-06
恩施州,144,0,10,0,2020-02-06
仙桃,265,0,11,5,2020-02-06
十堰,353,0,20,0,2020-02-06
鄂州,423,0,8,18,2020-02-06
咸宁,399,0,5,1,2020-02-06
宜昌,563,0,9,6,2020-02-06
襄阳,787,0,25,2,2020-02-06
荆州,801,0,19,10,2020-02-06
随州,834,0,9,9,2020-02-06
黄冈,1807,0,62,29,2020-02-06
孝感,1886,0,30,25,2020-02-06
武汉,10117,0,455,414,2020-02-06
黄石,566,0,25,2,2020-02-06
待明确地区,0,0,18,0,2020-02-06
神农架林区,10,0,2,0,2020-02-05
潜江,54,0,0,1,2020-02-05
天门,128,0,0,10,2020-02-05
咸宁,384,0,2,0,2020-02-05
恩施州,138,0,10,0,2020-02-05
仙桃,225,0,0,4,2020-02-05
十堰,318,0,9,0,2020-02-05
鄂州,382,0,6,18,2020-02-05
襄阳,735,0,7,2,2020-02-05
荆门,422,0,16,16,2020-02-05
黄石,509,0,23,2,2020-02-05
随州,706,0,9,8,2020-02-05
荆州,713,0,12,9,2020-02-05
孝感,1462,0,6,18,2020-02-05
黄冈,1645,0,52,25,2020-02-05
武汉,8351,0,374,362,2020-02-05
宜昌,496,0,9,4,2020-02-05
荆门,400,0,6,14,2020-02-04
神农架林区,10,0,2,0,2020-02-04
潜江,44,0,0,1,2020-02-04
天门,117,0,0,10,2020-02-04
仙桃,188,0,0,3,2020-02-04
十堰,291,0,6,0,2020-02-04
鄂州,332,0,4,18,2020-02-04
咸宁,348,0,1,0,2020-02-04
恩施州,123,0,5,0,2020-02-04
黄石,405,0,9,2,2020-02-04
荆州,613,0,7,7,2020-02-04
襄阳,632,0,1,1,2020-02-04
随州,641,0,3,6,2020-02-04
孝感,1120,0,4,17,2020-02-04
黄冈,1422,0,41,19,2020-02-04
武汉,6384,0,306,313,2020-02-04
宜昌,452,0,2,3,2020-02-04
鄂州,306,0,2,15,2020-02-03
神农架林区,7,0,2,0,2020-02-03
潜江,35,0,0,1,2020-02-03
恩施州,111,0,5,0,2020-02-03
天门,115,0,0,10,2020-02-03
仙桃,169,0,0,3,2020-02-03
十堰,256,0,2,0,2020-02-03
咸宁,296,0,1,0,2020-02-03
荆门,345,0,6,11,2020-02-03
黄石,334,0,8,2,2020-02-03
随州,458,0,3,5,2020-02-03
荆州,499,0,6,6,2020-02-03
襄阳,548,0,1,0,2020-02-03
孝感,918,0,2,14,2020-02-03
黄冈,1246,0,32,17,2020-02-03
武汉,5142,0,228,265,2020-02-03
宜昌,392,0,2,1,2020-02-03
鄂州,278,0,2,13,2020-02-02
神农架林区,7,0,2,0,2020-02-02
潜江,35,0,0,1,2020-02-02
天门,99,0,0,7,2020-02-02
