name,confirmed,suspected,discharged,deceased,updatedAtDate
张家界,5,0,4,0,2020-02-16
湘西自治州,8,0,6,0,2020-02-16
怀化,40,0,30,0,2020-02-16
永州,43,0,27,0,2020-02-16
郴州,39,0,22,0,2020-02-16
衡阳,47,0,28,0,2020-02-16
湘潭,35,0,14,0,2020-02-16
益阳,59,0,25,0,2020-02-16
娄底,75,0,34,0,2020-02-16
邵阳,101,0,59,1,2020-02-16
株洲,78,0,29,0,2020-02-16
常德,79,0,28,0,2020-02-16
岳阳,154,0,54,1,2020-02-16
长沙,241,0,89,1,2020-02-16
湘潭,35,0,14,0,2020-02-15
益阳,59,0,25,0,2020-02-15
邵阳,100,0,59,1,2020-02-15
娄底,75,0,29,0,2020-02-15
株洲,78,0,29,0,2020-02-15
常德,78,0,28,0,2020-02-15
岳阳,153,0,51,1,2020-02-15
长沙,241,0,73,0,2020-02-15
郴州,39,0,22,0,2020-02-15
衡阳,47,0,28,0,2020-02-15
永州,43,0,27,0,2020-02-15
怀化,40,0,30,0,2020-02-15
张家界,5,0,4,0,2020-02-15
湘西自治州,8,0,6,0,2020-02-15
永州,43,0,23,0,2020-02-14
张家界,5,0,3,0,2020-02-14
湘西自治州,8,0,6,0,2020-02-14
怀化,39,0,26,0,2020-02-14
郴州,39,0,22,0,2020-02-14
湘潭,34,0,12,0,2020-02-14
益阳,59,0,22,0,2020-02-14
娄底,73,0,25,0,2020-02-14
常德,78,0,27,0,2020-02-14
株洲,77,0,21,0,2020-02-14
邵阳,100,0,41,1,2020-02-14
岳阳,149,0,44,1,2020-02-14
长沙,238,0,66,0,2020-02-14
衡阳,46,0,26,0,2020-02-14
湘潭,32,0,12,0,2020-02-13
衡阳,45,0,25,0,2020-02-13
郴州,38,0,15,0,2020-02-13
永州,43,0,18,0,2020-02-13
益阳,59,0,22,0,2020-02-13
娄底,72,0,22,0,2020-02-13
常德,77,0,26,0,2020-02-13
株洲,75,0,21,0,2020-02-13
邵阳,99,0,41,1,2020-02-13
岳阳,148,0,42,1,2020-02-13
长沙,228,0,63,0,2020-02-13
湘西自治州,8,0,6,0,2020-02-13
怀化,39,0,23,0,2020-02-13
张家界,5,0,3,0,2020-02-13
张家界,5,0,3,0,2020-02-12
湘西自治州,8,0,6,0,2020-02-12
湘潭,32,0,11,0,2020-02-12
怀化,39,0,21,0,2020-02-12
郴州,38,0,15,0,2020-02-12
永州,43,0,18,0,2020-02-12
衡阳,45,0,23,0,2020-02-12
岳阳,146,0,42,1,2020-02-12
娄底,69,0,18,0,2020-02-12
株洲,71,0,12,0,2020-02-12
常德,75,0,24,0,2020-02-12
邵阳,94,0,33,1,2020-02-12
益阳,58,0,22,0,2020-02-12
长沙,223,0,56,0,2020-02-12
湘西自治州,8,0,6,0,2020-02-11
张家界,5,0,3,0,2020-02-11
湘潭,32,0,11,0,2020-02-11
郴州,33,0,14,0,2020-02-11
益阳,54,0,16,0,2020-02-11
永州,42,0,18,0,2020-02-11
衡阳,45,0,23,0,2020-02-11
怀化,39,0,21,0,2020-02-11
娄底,69,0,12,0,2020-02-11
株洲,68,0,11,0,2020-02-11
常德,73,0,18,0,2020-02-11
邵阳,91,0,25,0,2020-02-11
岳阳,134,0,21,1,2020-02-11
长沙,219,0,48,0,2020-02-11
张家界,5,0,3,0,2020-02-10
湘西自治州,8,0,6,0,2020-02-10
湘潭,31,0,11,0,2020-02-10
郴州,32,0,13,0,2020-02-10
衡阳,45,0,16,0,2020-02-10
怀化,39,0,15,0,2020-02-10
永州,41,0,13,0,2020-02-10
娄底,66,0,8,0,2020-02-10
益阳,53,0,16,0,2020-02-10
常德,72,0,15,0,2020-02-10
邵阳,89,0,22,0,2020-02-10
岳阳,124,0,21,1,2020-02-10
长沙,213,0,39,0,2020-02-10
株洲,61,0,10,0,2020-02-10
衡阳,45,0,14,0,2020-02-09
张家界,5,0,2,0,2020-02-09
湘西自治州,8,0,4,0,2020-02-09
湘潭,28,0,11,0,2020-02-09
郴州,32,0,8,0,2020-02-09
怀化,39,0,15,0,2020-02-09
永州,40,0,13,0,2020-02-09
株洲,58,0,10,0,2020-02-09
益阳,46,0,15,0,2020-02-09
娄底,64,0,8,0,2020-02-09
常德,66,0,15,0,2020-02-09
邵阳,87,0,21,0,2020-02-09
岳阳,115,0,17,1,2020-02-09
长沙,205,0,33,0,2020-02-09
永州,40,0,10,0,2020-02-08
张家界,5,0,2,0,2020-02-08
湘西自治州,8,0,3,0,2020-02-08
湘潭,28,0,10,0,2020-02-08
郴州,31,0,8,0,2020-02-08
怀化,38,0,14,0,2020-02-08
衡阳,43,0,13,0,2020-02-08
益阳,44,0,10,0,2020-02-08
株洲,48,0,8,0,2020-02-08
娄底,59,0,8,0,2020-02-08
常德,66,0,15,0,2020-02-08
邵阳,86,0,18,0,2020-02-08
岳阳,111,0,10,1,2020-02-08
长沙,196,0,27,0,2020-02-08
益阳,43,0,6,0,2020-02-07
张家界,5,0,2,0,2020-02-07
湘西自治州,8,0,1,0,2020-02-07
湘潭,25,0,7,0,2020-02-07
郴州,29,0,6,0,2020-02-07
怀化,38,0,10,0,2020-02-07
永州,38,0,10,0,2020-02-07
岳阳,107,0,4,0,2020-02-07
衡阳,43,0,11,0,2020-02-07
株洲,46,0,7,0,2020-02-07
娄底,53,0,4,0,2020-02-07
常德,64,0,14,0,2020-02-07
邵阳,83,0,12,0,2020-02-07
长沙,190,0,18,0,2020-02-07
益阳,41,0,6,0,2020-02-06
张家界,3,0,2,0,2020-02-06
湘西自治州,7,0,1,0,2020-02-06
湘潭,24,0,5,0,2020-02-06
郴州,25,0,4,0,2020-02-06
永州,32,0,8,0,2020-02-06
怀化,36,0,7,0,2020-02-06
株洲,41,0,7,0,2020-02-06
娄底,51,0,3,0,2020-02-06
常德,62,0,14,0,2020-02-06
邵阳,74,0,8,0,2020-02-06
岳阳,93,0,3,0,2020-02-06
长沙,179,0,8,0,2020-02-06
衡阳,43,0,5,0,2020-02-06
湘西自治州,7,0,1,0,2020-02-05
张家界,3,0,2,0,2020-02-05
常德,56,0,3,0,2020-02-05
湘潭,23,0,4,0,2020-02-05
郴州,24,0,2,0,2020-02-05
永州,30,0,8,0,2020-02-05
怀化,35,0,6,0,2020-02-05
株洲,38,0,2,0,2020-02-05
衡阳,39,0,5,0,2020-02-05
益阳,40,0,6,0,2020-02-05
娄底,45,0,3,0,2020-02-05
邵阳,68,0,2,0,2020-02-05
岳阳,89,0,2,0,2020-02-05
长沙,164,0,8,0,2020-02-05
益阳,35,0,1,0,2020-02-04
张家界,3,0,0,0,2020-02-04
