name,confirmed,suspected,discharged,deceased,updatedAtDate
吉林市,56.0,12.0,29.0,1.0,2020-05-19
通化,6.0,0.0,6.0,0.0,2020-05-19
长春,49.0,1.0,49.0,0.0,2020-05-19
梅河口,2.0,0.0,2.0,0.0,2020-05-19
松原,2.0,0.0,2.0,0.0,2020-05-19
白城,1.0,0.0,1.0,0.0,2020-05-19
公主岭,6.0,0.0,6.0,0.0,2020-05-19
延边,7.0,1.0,7.0,0.0,2020-05-19
辽源,7.0,0.0,7.0,0.0,2020-05-19
四平市,15.0,0.0,14.0,1.0,2020-05-19
延边,7.0,1.0,7.0,0.0,2020-05-18
白城,1.0,0.0,1.0,0.0,2020-05-18
长春,49.0,1.0,49.0,0.0,2020-05-18
四平市,15.0,0.0,14.0,1.0,2020-05-18
辽源,7.0,0.0,7.0,0.0,2020-05-18
吉林市,51.0,12.0,28.0,1.0,2020-05-18
公主岭,6.0,0.0,6.0,0.0,2020-05-18
通化,6.0,0.0,6.0,0.0,2020-05-18
松原,2.0,0.0,2.0,0.0,2020-05-18
梅河口,2.0,0.0,2.0,0.0,2020-05-18
公主岭,6.0,0.0,6.0,0.0,2020-05-17
白城,1.0,0.0,1.0,0.0,2020-05-17
梅河口,2.0,0.0,2.0,0.0,2020-05-17
松原,2.0,0.0,2.0,0.0,2020-05-17
通化,6.0,0.0,6.0,0.0,2020-05-17
延边,7.0,1.0,7.0,0.0,2020-05-17
辽源,7.0,0.0,7.0,0.0,2020-05-17
四平市,15.0,0.0,14.0,1.0,2020-05-17
长春,49.0,1.0,49.0,0.0,2020-05-17
吉林市,49.0,12.0,19.0,1.0,2020-05-17
通化,6.0,0.0,6.0,0.0,2020-05-16
吉林市,45.0,12.0,14.0,0.0,2020-05-16
长春,49.0,1.0,49.0,0.0,2020-05-16
辽源,7.0,0.0,7.0,0.0,2020-05-16
延边,7.0,1.0,7.0,0.0,2020-05-16
公主岭,6.0,0.0,6.0,0.0,2020-05-16
四平市,15.0,0.0,14.0,1.0,2020-05-16
松原,2.0,0.0,2.0,0.0,2020-05-16
梅河口,2.0,0.0,2.0,0.0,2020-05-16
白城,1.0,0.0,1.0,0.0,2020-05-16
白城,1.0,0.0,1.0,0.0,2020-05-15
梅河口,2.0,0.0,2.0,0.0,2020-05-15
松原,2.0,0.0,2.0,0.0,2020-05-15
通化,6.0,0.0,6.0,0.0,2020-05-15
公主岭,6.0,0.0,6.0,0.0,2020-05-15
延边,7.0,1.0,7.0,0.0,2020-05-15
辽源,7.0,0.0,7.0,0.0,2020-05-15
四平市,15.0,0.0,14.0,1.0,2020-05-15
长春,49.0,1.0,49.0,0.0,2020-05-15
吉林市,43.0,12.0,14.0,0.0,2020-05-15
白城,1.0,0.0,1.0,0.0,2020-05-14
梅河口,2.0,0.0,2.0,0.0,2020-05-14
松原,2.0,0.0,2.0,0.0,2020-05-14
通化,6.0,0.0,6.0,0.0,2020-05-14
公主岭,6.0,0.0,6.0,0.0,2020-05-14
延边,7.0,1.0,7.0,0.0,2020-05-14
辽源,7.0,0.0,7.0,0.0,2020-05-14
四平市,15.0,0.0,14.0,1.0,2020-05-14
长春,49.0,1.0,49.0,0.0,2020-05-14
吉林市,39.0,12.0,14.0,0.0,2020-05-14
吉林市,38.0,12.0,14.0,0.0,2020-05-13
长春,49.0,1.0,49.0,0.0,2020-05-13
四平市,15.0,0.0,14.0,1.0,2020-05-13
辽源,7.0,0.0,7.0,0.0,2020-05-13
延边,7.0,1.0,7.0,0.0,2020-05-13
公主岭,6.0,0.0,6.0,0.0,2020-05-13
通化,6.0,0.0,6.0,0.0,2020-05-13
松原,2.0,0.0,2.0,0.0,2020-05-13
梅河口,2.0,0.0,2.0,0.0,2020-05-13
白城,1.0,0.0,1.0,0.0,2020-05-13
松原,2.0,0.0,2.0,0.0,2020-05-11
吉林市,32.0,12.0,12.0,0.0,2020-05-11
长春,49.0,1.0,48.0,0.0,2020-05-11
四平市,15.0,0.0,14.0,1.0,2020-05-11
辽源,7.0,0.0,7.0,0.0,2020-05-11
延边,7.0,1.0,7.0,0.0,2020-05-11
公主岭,6.0,0.0,6.0,0.0,2020-05-11
通化,6.0,0.0,6.0,0.0,2020-05-11
梅河口,2.0,0.0,2.0,0.0,2020-05-11
白城,1.0,0.0,1.0,0.0,2020-05-11
公主岭,6.0,0.0,6.0,0.0,2020-05-10
通化,6.0,0.0,6.0,0.0,2020-05-10
松原,2.0,0.0,2.0,0.0,2020-05-10
梅河口,2.0,0.0,2.0,0.0,2020-05-10
白城,1.0,0.0,1.0,0.0,2020-05-10
辽源,7.0,0.0,7.0,0.0,2020-05-10
延边,7.0,1.0,7.0,0.0,2020-05-10
四平市,15.0,0.0,14.0,1.0,2020-05-10
长春,49.0,1.0,48.0,0.0,2020-05-10
吉林市,29.0,12.0,12.0,0.0,2020-05-10
白城,1.0,0.0,1.0,0.0,2020-05-09
吉林市,18.0,12.0,12.0,0.0,2020-05-09
梅河口,2.0,0.0,2.0,0.0,2020-05-09
松原,2.0,0.0,2.0,0.0,2020-05-09
通化,6.0,0.0,6.0,0.0,2020-05-09
公主岭,6.0,0.0,6.0,0.0,2020-05-09
延边,7.0,1.0,7.0,0.0,2020-05-09
辽源,7.0,0.0,7.0,0.0,2020-05-09
四平市,15.0,0.0,14.0,1.0,2020-05-09
长春,49.0,1.0,48.0,0.0,2020-05-09
公主岭,6.0,0.0,6.0,0.0,2020-05-08
梅河口,2.0,0.0,2.0,0.0,2020-05-08
松原,2.0,0.0,2.0,0.0,2020-05-08
通化,6.0,0.0,6.0,0.0,2020-05-08
白城,1.0,0.0,1.0,0.0,2020-05-08
延边,7.0,1.0,7.0,0.0,2020-05-08
辽源,7.0,0.0,7.0,0.0,2020-05-08
四平市,15.0,0.0,14.0,1.0,2020-05-08
长春,49.0,1.0,48.0,0.0,2020-05-08
吉林市,18.0,12.0,11.0,0.0,2020-05-08
延边,7.0,1.0,7.0,0.0,2020-05-03
吉林市,17.0,12.0,10.0,0.0,2020-05-03
长春,49.0,1.0,48.0,0.0,2020-05-03
四平市,15.0,0.0,14.0,1.0,2020-05-03
辽源,7.0,0.0,7.0,0.0,2020-05-03
