name,confirmed,suspected,discharged,deceased,updatedAtDate
淮安,66,0,57,0,2020-03-01
宿迁,13,0,12,0,2020-03-01
南通,40,0,37,0,2020-03-01
常州,51,0,48,0,2020-03-01
无锡,55,0,49,0,2020-03-01
徐州,79,0,71,0,2020-03-01
苏州,87,0,64,0,2020-03-01
连云港,48,0,37,0,2020-03-01
泰州,37,0,37,0,2020-03-01
南京,93,0,58,0,2020-03-01
镇江,12,0,11,0,2020-03-01
盐城,27,0,27,0,2020-03-01
扬州,23,0,23,0,2020-03-01
南通,40,0,37,0,2020-02-29
扬州,23,0,23,0,2020-02-29
盐城,27,0,27,0,2020-02-29
泰州,37,0,37,0,2020-02-29
宿迁,13,0,12,0,2020-02-29
镇江,12,0,10,0,2020-02-29
南京,93,0,58,0,2020-02-29
常州,51,0,48,0,2020-02-29
徐州,79,0,71,0,2020-02-29
淮安,66,0,55,0,2020-02-29
连云港,48,0,35,0,2020-02-29
苏州,87,0,62,0,2020-02-29
无锡,55,0,48,0,2020-02-29
南通,40,0,37,0,2020-02-28
宿迁,13,0,12,0,2020-02-28
镇江,12,0,10,0,2020-02-28
盐城,27,0,25,0,2020-02-28
徐州,79,0,71,0,2020-02-28
常州,51,0,48,0,2020-02-28
扬州,23,0,17,0,2020-02-28
无锡,55,0,48,0,2020-02-28
泰州,37,0,37,0,2020-02-28
连云港,48,0,35,0,2020-02-28
淮安,66,0,55,0,2020-02-28
苏州,87,0,62,0,2020-02-28
南京,93,0,58,0,2020-02-28
宿迁,13,0,11,0,2020-02-27
镇江,12,0,10,0,2020-02-27
连云港,48,0,33,0,2020-02-27
盐城,27,0,25,0,2020-02-27
南通,40,0,37,0,2020-02-27
常州,51,0,48,0,2020-02-27
泰州,37,0,32,0,2020-02-27
无锡,55,0,47,0,2020-02-27
徐州,79,0,71,0,2020-02-27
淮安,66,0,50,0,2020-02-27
苏州,87,0,59,0,2020-02-27
南京,93,0,58,0,2020-02-27
扬州,23,0,17,0,2020-02-27
南京,93,0,58,0,2020-02-26
镇江,12,0,10,0,2020-02-26
宿迁,13,0,11,0,2020-02-26
盐城,27,0,24,0,2020-02-26
常州,51,0,48,0,2020-02-26
南通,40,0,35,0,2020-02-26
扬州,23,0,17,0,2020-02-26
泰州,37,0,28,0,2020-02-26
徐州,79,0,69,0,2020-02-26
无锡,55,0,42,0,2020-02-26
淮安,66,0,50,0,2020-02-26
连云港,48,0,27,0,2020-02-26
苏州,87,0,59,0,2020-02-26
常州,51,0,41,0,2020-02-25
镇江,12,0,10,0,2020-02-25
宿迁,13,0,11,0,2020-02-25
盐城,27,0,24,0,2020-02-25
扬州,23,0,17,0,2020-02-25
泰州,37,0,28,0,2020-02-25
南通,40,0,34,0,2020-02-25
徐州,79,0,67,0,2020-02-25
无锡,55,0,41,0,2020-02-25
淮安,66,0,46,0,2020-02-25
连云港,48,0,25,0,2020-02-25
苏州,87,0,57,0,2020-02-25
南京,93,0,57,0,2020-02-25
镇江,12,0,10,0,2020-02-24
南京,93,0,57,0,2020-02-24
常州,51,0,41,0,2020-02-24
苏州,87,0,57,0,2020-02-24
盐城,27,0,24,0,2020-02-24
宿迁,13,0,9,0,2020-02-24
扬州,23,0,17,0,2020-02-24
南通,40,0,33,0,2020-02-24
泰州,37,0,26,0,2020-02-24
徐州,79,0,67,0,2020-02-24
无锡,55,0,41,0,2020-02-24
淮安,66,0,46,0,2020-02-24
连云港,48,0,24,0,2020-02-24
镇江,12,0,10,0,2020-02-23
宿迁,13,0,9,0,2020-02-23
扬州,23,0,17,0,2020-02-23
盐城,27,0,20,0,2020-02-23
南通,40,0,32,0,2020-02-23
泰州,37,0,25,0,2020-02-23
徐州,79,0,66,0,2020-02-23
常州,51,0,36,0,2020-02-23
无锡,55,0,39,0,2020-02-23
连云港,48,0,22,0,2020-02-23
淮安,66,0,40,0,2020-02-23
苏州,87,0,50,0,2020-02-23
南京,93,0,52,0,2020-02-23
南京,93,0,52,0,2020-02-22
常州,51,0,36,0,2020-02-22
徐州,79,0,63,0,2020-02-22
无锡,55,0,37,0,2020-02-22
连云港,48,0,22,0,2020-02-22
淮安,66,0,37,0,2020-02-22
苏州,87,0,49,0,2020-02-22
泰州,37,0,25,0,2020-02-22
南通,40,0,28,0,2020-02-22
镇江,12,0,9,0,2020-02-22
扬州,23,0,15,0,2020-02-22
盐城,27,0,20,0,2020-02-22
宿迁,13,0,8,0,2020-02-22
镇江,12,0,8,0,2020-02-21
盐城,27,0,20,0,2020-02-21
宿迁,13,0,8,0,2020-02-21
扬州,23,0,13,0,2020-02-21
泰州,37,0,24,0,2020-02-21
苏州,87,0,42,0,2020-02-21
南通,40,0,23,0,2020-02-21
无锡,55,0,37,0,2020-02-21
徐州,79,0,58,0,2020-02-21
常州,51,0,36,0,2020-02-21
淮安,66,0,34,0,2020-02-21
南京,93,0,52,0,2020-02-21
连云港,48,0,18,0,2020-02-21
盐城,27,0,25,0,2020-02-20
镇江,12,0,8,0,2020-02-20
苏州,87,0,38,0,2020-02-20
宿迁,13,0,7,0,2020-02-20
南京,93,0,47,0,2020-02-20
连云港,48,0,18,0,2020-02-20
徐州,79,0,55,0,2020-02-20
淮安,66,0,34,0,2020-02-20
常州,51,0,29,0,2020-02-20
无锡,55,0,35,0,2020-02-20
南通,40,0,23,0,2020-02-20
泰州,37,0,24,0,2020-02-20
扬州,23,0,13,0,2020-02-20
常州,51,0,27,0,2020-02-19
盐城,27,0,24,0,2020-02-19
宿迁,13,0,7,0,2020-02-19
扬州,23,0,11,0,2020-02-19
泰州,37,0,22,0,2020-02-19
南通,40,0,23,0,2020-02-19
镇江,12,0,6,0,2020-02-19
无锡,55,0,27,0,2020-02-19
连云港,48,0,17,0,2020-02-19
淮安,66,0,32,0,2020-02-19
南京,93,0,38,0,2020-02-19
苏州,87,0,33,0,2020-02-19
徐州,79,0,51,0,2020-02-19
待明确,0,0,16,0,2020-02-19
常州,50,0,27,0,2020-02-18
宿迁,13,0,7,0,2020-02-18
苏州,87,0,31,0,2020-02-18
淮安,66,0,28,0,2020-02-18
徐州,79,0,42,0,2020-02-18
无锡,55,0,21,0,2020-02-18
连云港,48,0,14,0,2020-02-18
南通,40,0,19,0,2020-02-18
泰州,37,0,22,0,2020-02-18
盐城,27,0,17,0,2020-02-18
扬州,23,0,11,0,2020-02-18
镇江,12,0,6,0,2020-02-18
南京,92,0,35,0,2020-02-18
南京,92,0,32,0,2020-02-17
苏州,86,0,31,0,2020-02-17
徐州,79,0,42,0,2020-02-17
宿迁,13,0,7,0,2020-02-17
淮安,65,0,28,0,2020-02-17
无锡,55,0,19,0,2020-02-17
连云港,48,0,13,0,2020-02-17
常州,49,0,20,0,2020-02-17
南通,40,0,17,0,2020-02-17
泰州,37,0,20,0,2020-02-17
扬州,23,0,9,0,2020-02-17
盐城,27,0,15,0,2020-02-17
镇江,12,0,5,0,2020-02-17
连云港,48,0,12,0,2020-02-16
宿迁,13,0,7,0,2020-02-16
镇江,12,0,4,0,2020-02-16
扬州,22,0,8,0,2020-02-16
盐城,27,0,10,0,2020-02-16
泰州,37,0,16,0,2020-02-16
南通,40,0,15,0,2020-02-16
常州,46,0,21,0,2020-02-16
无锡,53,0,18,0,2020-02-16
淮安,63,0,21,0,2020-02-16
徐州,78,0,28,0,2020-02-16
苏州,86,0,26,0,2020-02-16
南京,92,0,32,0,2020-02-16
镇江,12,0,4,0,2020-02-15
南通,40,0,15,0,2020-02-15
泰州,37,0,16,0,2020-02-15
盐城,27,0,9,0,2020-02-15
扬州,21,0,7,0,2020-02-15
宿迁,12,0,7,0,2020-02-15
连云港,46,0,12,0,2020-02-15
常州,43,0,11,0,2020-02-15
无锡,52,0,18,0,2020-02-15
淮安,60,0,11,0,2020-02-15
徐州,77,0,23,0,2020-02-15
苏州,86,0,26,0,2020-02-15
南京,91,0,27,0,2020-02-15
苏州,85,0,17,0,2020-02-14
南通,39,0,11,0,2020-02-14
常州,43,0,11,0,2020-02-14
连云港,45,0,10,0,2020-02-14
无锡,51,0,15,0,2020-02-14
淮安,56,0,11,0,2020-02-14
徐州,76,0,20,0,2020-02-14
南京,91,0,27,0,2020-02-14
盐城,26,0,6,0,2020-02-14
泰州,37,0,15,0,2020-02-14
扬州,20,0,6,0,2020-02-14
镇江,12,0,2,0,2020-02-14
宿迁,12,0,6,0,2020-02-14
苏州,85,0,17,0,2020-02-13
宿迁,12,0,6,0,2020-02-13
镇江,12,0,2,0,2020-02-13
扬州,20,0,6,0,2020-02-13
盐城,25,0,6,0,2020-02-13
泰州,37,0,15,0,2020-02-13
常州,38,0,12,0,2020-02-13
南通,38,0,11,0,2020-02-13
无锡,49,0,9,0,2020-02-13
淮安,51,0,6,0,2020-02-13
徐州,71,0,17,0,2020-02-13
连云港,42,0,6,0,2020-02-13
南京,90,0,26,0,2020-02-13
扬州,18,0,6,0,2020-02-12
宿迁,12,0,6,0,2020-02-12
镇江,12,0,2,0,2020-02-12
盐城,21,0,6,0,2020-02-12
常州,36,0,12,0,2020-02-12
泰州,36,0,6,0,2020-02-12
南通,37,0,11,0,2020-02-12
连云港,39,0,5,0,2020-02-12
无锡,48,0,9,0,2020-02-12
淮安,47,0,6,0,2020-02-12
徐州,66,0,16,0,2020-02-12
苏州,84,0,16,0,2020-02-12
南京,87,0,24,0,2020-02-12
徐州,63,0,10,0,2020-02-11
南京,84,0,22,0,2020-02-11
苏州,80,0,13,0,2020-02-11
淮安,46,0,6,0,2020-02-11
无锡,45,0,4,0,2020-02-11
连云港,37,0,5,0,2020-02-11
南通,35,0,5,0,2020-02-11
泰州,34,0,5,0,2020-02-11
常州,31,0,6,0,2020-02-11
扬州,18,0,6,0,2020-02-11
盐城,18,0,3,0,2020-02-11
镇江,12,0,2,0,2020-02-11
宿迁,12,0,6,0,2020-02-11
徐州,60,0,8,0,2020-02-10
宿迁,12,0,3,0,2020-02-10
连云港,35,0,4,0,2020-02-10
南京,78,0,22,0,2020-02-10
苏州,77,0,13,0,2020-02-10
淮安,46,0,5,0,2020-02-10
镇江,12,0,1,0,2020-02-10
无锡,41,0,3,0,2020-02-10
南通,33,0,5,0,2020-02-10
常州,31,0,6,0,2020-02-10
泰州,31,0,5,0,2020-02-10
扬州,18,0,3,0,2020-02-10
盐城,18,0,3,0,2020-02-10
淮安,44,0,5,0,2020-02-09
苏州,75,0,11,0,2020-02-09
南京,71,0,22,0,2020-02-09
徐州,56,0,8,0,2020-02-09
无锡,38,0,3,0,2020-02-09
镇江,12,0,1,0,2020-02-09
连云港,32,0,4,0,2020-02-09
宿迁,12,0,0,0,2020-02-09
盐城,17,0,3,0,2020-02-09
泰州,30,0,4,0,2020-02-09
常州,31,0,6,0,2020-02-09
南通,32,0,2,0,2020-02-09
扬州,18,0,2,0,2020-02-09
泰州,30,0,3,0,2020-02-08
镇江,11,0,1,0,2020-02-08
宿迁,12,0,0,0,2020-02-08
盐城,17,0,3,0,2020-02-08
扬州,17,0,2,0,2020-02-08
连云港,27,0,2,0,2020-02-08
南通,31,0,2,0,2020-02-08
常州,31,0,5,0,2020-02-08
无锡,34,0,4,0,2020-02-08
淮安,40,0,2,0,2020-02-08
徐州,52,0,3,0,2020-02-08
南京,65,0,20,0,2020-02-08
苏州,72,0,4,0,2020-02-08
镇江,9,0,1,0,2020-02-07
宿迁,12,0,0,0,2020-02-07
盐城,16,0,3,0,2020-02-07
扬州,17,0,2,0,2020-02-07
连云港,24,0,2,0,2020-02-07
泰州,29,0,3,0,2020-02-07
常州,29,0,5,0,2020-02-07
南通,29,0,2,0,2020-02-07
淮安,37,0,2,0,2020-02-07
徐州,49,0,3,0,2020-02-07
南京,57,0,15,0,2020-02-07
苏州,69,0,4,0,2020-02-07
无锡,31,0,1,0,2020-02-07
南通,27,0,2,0,2020-02-06
镇江,8,0,0,0,2020-02-06
宿迁,11,0,0,0,2020-02-06
扬州,15,0,0,0,2020-02-06
盐城,16,0,3,0,2020-02-06
常州,27,0,5,0,2020-02-06
连云港,22,0,2,0,2020-02-06
泰州,28,0,1,0,2020-02-06
无锡,28,0,1,0,2020-02-06
淮安,34,0,2,0,2020-02-06
