name,confirmed,suspected,discharged,deceased,updatedAtDate
抚州,72.0,0.0,72.0,0.0,2020-06-03
赣江新区,1.0,0.0,1.0,0.0,2020-06-03
境外输入,2.0,0.0,2.0,0.0,2020-06-03
景德镇,6.0,0.0,6.0,0.0,2020-06-03
吉安,22.0,0.0,22.0,0.0,2020-06-03
萍乡,33.0,0.0,33.0,0.0,2020-06-03
鹰潭,18.0,0.0,18.0,0.0,2020-06-03
赣州,74.0,0.0,73.0,1.0,2020-06-03
宜春,106.0,0.0,106.0,0.0,2020-06-03
九江,116.0,0.0,116.0,0.0,2020-06-03
上饶,123.0,0.0,123.0,0.0,2020-06-03
新余,129.0,0.0,129.0,0.0,2020-06-03
南昌,230.0,0.0,230.0,0.0,2020-06-03
赣江新区,1.0,0.0,1.0,0.0,2020-04-10
抚州,72.0,0.0,72.0,0.0,2020-04-10
景德镇,6.0,0.0,6.0,0.0,2020-04-10
鹰潭,18.0,0.0,18.0,0.0,2020-04-10
吉安,22.0,0.0,22.0,0.0,2020-04-10
萍乡,33.0,0.0,33.0,0.0,2020-04-10
境外输入,2.0,0.0,2.0,0.0,2020-04-10
赣州,76.0,0.0,75.0,1.0,2020-04-10
九江,118.0,0.0,118.0,0.0,2020-04-10
上饶,123.0,0.0,123.0,0.0,2020-04-10
新余,130.0,0.0,130.0,0.0,2020-04-10
南昌,230.0,0.0,230.0,0.0,2020-04-10
宜春,106.0,0.0,106.0,0.0,2020-04-10
赣江新区,1.0,0.0,1.0,0.0,2020-03-30
景德镇,6.0,0.0,6.0,0.0,2020-03-30
鹰潭,18.0,0.0,18.0,0.0,2020-03-30
吉安,22.0,0.0,22.0,0.0,2020-03-30
萍乡,33.0,0.0,33.0,0.0,2020-03-30
抚州,72.0,0.0,72.0,0.0,2020-03-30
赣州,76.0,0.0,75.0,1.0,2020-03-30
宜春,106.0,0.0,106.0,0.0,2020-03-30
九江,118.0,0.0,118.0,0.0,2020-03-30
新余,130.0,0.0,130.0,0.0,2020-03-30
南昌,230.0,0.0,230.0,0.0,2020-03-30
境外输入,2.0,0.0,1.0,0.0,2020-03-30
上饶,123.0,0.0,123.0,0.0,2020-03-30
赣州,76.0,0.0,75.0,1.0,2020-03-29
赣江新区,1.0,0.0,1.0,0.0,2020-03-29
景德镇,6.0,0.0,6.0,0.0,2020-03-29
鹰潭,18.0,0.0,18.0,0.0,2020-03-29
