name,confirmed,suspected,discharged,deceased,updatedAtDate
铁岭,7.0,0.0,7.0,0.0,2020-05-14
抚顺,1.0,0.0,1.0,0.0,2020-05-14
营口,1.0,0.0,1.0,0.0,2020-05-14
辽阳,3.0,0.0,3.0,0.0,2020-05-14
本溪,3.0,0.0,3.0,0.0,2020-05-14
鞍山,4.0,0.0,4.0,0.0,2020-05-14
朝阳,6.0,0.0,5.0,1.0,2020-05-14
阜新,8.0,0.0,8.0,0.0,2020-05-14
盘锦,11.0,0.0,11.0,0.0,2020-05-14
丹东,11.0,0.0,11.0,0.0,2020-05-14
葫芦岛,12.0,0.0,11.0,1.0,2020-05-14
锦州,12.0,0.0,12.0,0.0,2020-05-14
大连,18.0,0.0,18.0,0.0,2020-05-14
境外输入,21.0,0.0,21.0,0.0,2020-05-14
沈阳,31.0,0.0,28.0,0.0,2020-05-14
营口,1.0,0.0,1.0,0.0,2020-05-10
抚顺,1.0,0.0,1.0,0.0,2020-05-10
辽阳,3.0,0.0,3.0,0.0,2020-05-10
丹东,11.0,0.0,11.0,0.0,2020-05-10
沈阳,29.0,0.0,28.0,0.0,2020-05-10
境外输入,21.0,0.0,21.0,0.0,2020-05-10
本溪,3.0,0.0,3.0,0.0,2020-05-10
锦州,12.0,0.0,12.0,0.0,2020-05-10
葫芦岛,12.0,0.0,11.0,1.0,2020-05-10
大连,18.0,0.0,18.0,0.0,2020-05-10
盘锦,11.0,0.0,11.0,0.0,2020-05-10
阜新,8.0,0.0,8.0,0.0,2020-05-10
铁岭,7.0,0.0,7.0,0.0,2020-05-10
朝阳,6.0,0.0,5.0,1.0,2020-05-10
鞍山,4.0,0.0,4.0,0.0,2020-05-10
营口,1.0,0.0,1.0,0.0,2020-05-02
抚顺,1.0,0.0,1.0,0.0,2020-05-02
铁岭,7.0,0.0,7.0,0.0,2020-05-02
辽阳,3.0,0.0,3.0,0.0,2020-05-02
丹东,11.0,0.0,11.0,0.0,2020-05-02
本溪,3.0,0.0,3.0,0.0,2020-05-02
大连,18.0,0.0,18.0,0.0,2020-05-02
锦州,12.0,0.0,12.0,0.0,2020-05-02
葫芦岛,12.0,0.0,11.0,1.0,2020-05-02
境外输入,21.0,0.0,21.0,0.0,2020-05-02
盘锦,11.0,0.0,11.0,0.0,2020-05-02
阜新,8.0,0.0,8.0,0.0,2020-05-02
沈阳,28.0,0.0,28.0,0.0,2020-05-02
朝阳,6.0,0.0,5.0,1.0,2020-05-02
鞍山,4.0,0.0,4.0,0.0,2020-05-02
铁岭,7.0,0.0,7.0,0.0,2020-04-20
盘锦,11.0,0.0,11.0,0.0,2020-04-20
待明确地区,0.0,0.0,1.0,0.0,2020-04-20
营口,1.0,0.0,1.0,0.0,2020-04-20
辽阳,3.0,0.0,3.0,0.0,2020-04-20
本溪,3.0,0.0,3.0,0.0,2020-04-20
鞍山,4.0,0.0,4.0,0.0,2020-04-20
朝阳,6.0,0.0,5.0,1.0,2020-04-20
阜新,8.0,0.0,8.0,0.0,2020-04-20
丹东,11.0,0.0,11.0,0.0,2020-04-20
葫芦岛,12.0,0.0,11.0,1.0,2020-04-20
锦州,12.0,0.0,12.0,0.0,2020-04-20
境外输入,21.0,0.0,21.0,0.0,2020-04-20
沈阳,28.0,0.0,28.0,0.0,2020-04-20
抚顺,1.0,0.0,0.0,0.0,2020-04-20
大连,18.0,0.0,17.0,0.0,2020-04-20
阜新,8.0,0.0,8.0,0.0,2020-04-18
境外输入,21.0,0.0,21.0,0.0,2020-04-18
锦州,12.0,0.0,12.0,0.0,2020-04-18
葫芦岛,12.0,0.0,11.0,1.0,2020-04-18
丹东,11.0,0.0,11.0,0.0,2020-04-18
盘锦,11.0,0.0,11.0,0.0,2020-04-18
本溪,3.0,0.0,3.0,0.0,2020-04-18
铁岭,7.0,0.0,7.0,0.0,2020-04-18
朝阳,6.0,0.0,5.0,1.0,2020-04-18
鞍山,4.0,0.0,4.0,0.0,2020-04-18
辽阳,3.0,0.0,3.0,0.0,2020-04-18
营口,1.0,0.0,1.0,0.0,2020-04-18
抚顺市,1.0,0.0,0.0,0.0,2020-04-18
沈阳,28.0,0.0,28.0,0.0,2020-04-18
大连,18.0,0.0,17.0,0.0,2020-04-18
铁岭,7.0,0.0,7.0,0.0,2020-04-17
沈阳,28.0,0.0,28.0,0.0,2020-04-17
锦州,12.0,0.0,12.0,0.0,2020-04-17
葫芦岛,12.0,0.0,11.0,1.0,2020-04-17
丹东,11.0,0.0,11.0,0.0,2020-04-17
盘锦,11.0,0.0,11.0,0.0,2020-04-17
阜新,8.0,0.0,8.0,0.0,2020-04-17
大连,18.0,0.0,17.0,0.0,2020-04-17
朝阳,6.0,0.0,5.0,1.0,2020-04-17
鞍山,4.0,0.0,4.0,0.0,2020-04-17
本溪,3.0,0.0,3.0,0.0,2020-04-17
辽阳,3.0,0.0,3.0,0.0,2020-04-17
营口,1.0,0.0,1.0,0.0,2020-04-17
抚顺市,1.0,0.0,0.0,0.0,2020-04-17
境外输入,21.0,0.0,19.0,0.0,2020-04-17
铁岭,7.0,0.0,7.0,0.0,2020-04-16
大连,18.0,0.0,17.0,0.0,2020-04-16
沈阳,28.0,0.0,28.0,0.0,2020-04-16
锦州,12.0,0.0,12.0,0.0,2020-04-16
丹东,11.0,0.0,11.0,0.0,2020-04-16
盘锦,11.0,0.0,11.0,0.0,2020-04-16
境外输入,21.0,0.0,19.0,0.0,2020-04-16
阜新,8.0,0.0,8.0,0.0,2020-04-16
葫芦岛,12.0,0.0,11.0,1.0,2020-04-16
朝阳,6.0,0.0,5.0,1.0,2020-04-16
本溪,3.0,0.0,3.0,0.0,2020-04-16
辽阳,3.0,0.0,3.0,0.0,2020-04-16
营口,1.0,0.0,1.0,0.0,2020-04-16
鞍山,4.0,0.0,4.0,0.0,2020-04-16
铁岭,7.0,0.0,7.0,0.0,2020-04-14
营口,1.0,0.0,1.0,0.0,2020-04-14
辽阳,3.0,0.0,3.0,0.0,2020-04-14
本溪,3.0,0.0,3.0,0.0,2020-04-14
鞍山,4.0,0.0,4.0,0.0,2020-04-14
朝阳,6.0,0.0,5.0,1.0,2020-04-14
境外输入,21.0,0.0,17.0,0.0,2020-04-14
阜新,8.0,0.0,8.0,0.0,2020-04-14
丹东,11.0,0.0,11.0,0.0,2020-04-14
葫芦岛,12.0,0.0,11.0,1.0,2020-04-14
锦州,12.0,0.0,12.0,0.0,2020-04-14
沈阳,28.0,0.0,28.0,0.0,2020-04-14
大连,18.0,0.0,17.0,0.0,2020-04-14
盘锦,11.0,0.0,11.0,0.0,2020-04-14
辽阳,4.0,0.0,3.0,0.0,2020-04-12
营口,1.0,0.0,1.0,0.0,2020-04-12
本溪,3.0,0.0,3.0,0.0,2020-04-12
朝阳,6.0,0.0,5.0,1.0,2020-04-12
阜新,8.0,0.0,8.0,0.0,2020-04-12
盘锦,11.0,0.0,11.0,0.0,2020-04-12
丹东,11.0,0.0,11.0,0.0,2020-04-12
