name,confirmed,suspected,discharged,deceased,updatedAtDate
锡林郭勒盟,9,0,1,0,2020-02-21
包头,11,0,2,0,2020-02-21
赤峰,9,0,3,0,2020-02-21
巴彦淖尔,8,0,0,0,2020-02-21
鄂尔多斯,11,0,5,0,2020-02-21
呼和浩特,7,0,2,0,2020-02-21
呼伦贝尔,7,0,2,0,2020-02-21
乌兰察布,3,0,1,0,2020-02-21
乌海市,2,0,0,0,2020-02-21
兴安盟,1,0,0,0,2020-02-21
通辽,7,0,1,0,2020-02-21
赤峰,9,0,3,0,2020-02-20
锡林郭勒盟,9,0,1,0,2020-02-20
巴彦淖尔,8,0,0,0,2020-02-20
通辽,7,0,0,0,2020-02-20
鄂尔多斯,11,0,5,0,2020-02-20
呼伦贝尔,7,0,1,0,2020-02-20
呼和浩特,7,0,2,0,2020-02-20
乌海市,2,0,0,0,2020-02-20
兴安盟,1,0,0,0,2020-02-20
包头,11,0,2,0,2020-02-20
乌兰察布,3,0,1,0,2020-02-20
赤峰,9,0,3,0,2020-02-19
鄂尔多斯,11,0,3,0,2020-02-19
巴彦淖尔,8,0,0,0,2020-02-19
锡林郭勒盟,9,0,1,0,2020-02-19
呼和浩特,7,0,0,0,2020-02-19
乌海市,2,0,0,0,2020-02-19
呼伦贝尔,7,0,1,0,2020-02-19
乌兰察布,3,0,1,0,2020-02-19
兴安盟,1,0,0,0,2020-02-19
包头,11,0,1,0,2020-02-19
通辽,7,0,0,0,2020-02-19
呼和浩特,7,0,0,0,2020-02-18
通辽,7,0,0,0,2020-02-18
兴安盟,1,0,0,0,2020-02-18
乌海市,2,0,0,0,2020-02-18
乌兰察布,3,0,1,0,2020-02-18
呼伦贝尔,6,0,1,0,2020-02-18
巴彦淖尔,8,0,0,0,2020-02-18
锡林郭勒盟,8,0,1,0,2020-02-18
赤峰,9,0,2,0,2020-02-18
鄂尔多斯,11,0,3,0,2020-02-18
包头,11,0,0,0,2020-02-18
通辽,6,0,0,0,2020-02-17
兴安盟,1,0,0,0,2020-02-17
乌海市,2,0,0,0,2020-02-17
乌兰察布,3,0,1,0,2020-02-17
呼伦贝尔,6,0,1,0,2020-02-17
锡林郭勒盟,8,0,1,0,2020-02-17
呼和浩特,7,0,0,0,2020-02-17
赤峰,9,0,2,0,2020-02-17
巴彦淖尔,8,0,0,0,2020-02-17
鄂尔多斯,11,0,3,0,2020-02-17
包头,11,0,0,0,2020-02-17
包头,11,0,0,0,2020-02-16
鄂尔多斯,11,0,3,0,2020-02-16
兴安盟,1,0,0,0,2020-02-16
乌海市,2,0,0,0,2020-02-16
乌兰察布,3,0,1,0,2020-02-16
锡林郭勒盟,6,0,1,0,2020-02-16
呼伦贝尔,6,0,1,0,2020-02-16
通辽,6,0,0,0,2020-02-16
赤峰,9,0,2,0,2020-02-16
呼和浩特,7,0,0,0,2020-02-16
巴彦淖尔,8,0,0,0,2020-02-16
呼和浩特,7,0,0,0,2020-02-15
包头,11,0,0,0,2020-02-15
鄂尔多斯,11,0,3,0,2020-02-15
巴彦淖尔,8,0,0,0,2020-02-15
兴安盟,1,0,0,0,2020-02-15
通辽,6,0,0,0,2020-02-15
赤峰,7,0,2,0,2020-02-15
呼伦贝尔,6,0,1,0,2020-02-15
锡林郭勒盟,6,0,1,0,2020-02-15
乌兰察布,3,0,0,0,2020-02-15
乌海市,2,0,0,0,2020-02-15
呼伦贝尔,6,0,1,0,2020-02-14
兴安盟,1,0,0,0,2020-02-14
乌海市,2,0,0,0,2020-02-14
乌兰察布,3,0,0,0,2020-02-14
赤峰,7,0,2,0,2020-02-14
锡林郭勒盟,5,0,1,0,2020-02-14
巴彦淖尔,6,0,0,0,2020-02-14
通辽,6,0,0,0,2020-02-14
呼和浩特,7,0,0,0,2020-02-14
鄂尔多斯,11,0,2,0,2020-02-14
包头,11,0,0,0,2020-02-14
包头,11,0,0,0,2020-02-13
鄂尔多斯,11,0,2,0,2020-02-13
呼和浩特,7,0,0,0,2020-02-13
通辽,6,0,0,0,2020-02-13
巴彦淖尔,6,0,0,0,2020-02-13
兴安盟,1,0,0,0,2020-02-13
乌海市,2,0,0,0,2020-02-13
锡林郭勒盟,3,0,1,0,2020-02-13
乌兰察布,3,0,0,0,2020-02-13
赤峰,5,0,2,0,2020-02-13
呼伦贝尔,6,0,1,0,2020-02-13
呼和浩特,7,0,0,0,2020-02-12
通辽,6,0,0,0,2020-02-12
兴安盟,1,0,0,0,2020-02-12
乌海市,2,0,0,0,2020-02-12
锡林郭勒盟,2,0,1,0,2020-02-12
乌兰察布,3,0,0,0,2020-02-12
赤峰,5,0,2,0,2020-02-12
巴彦淖尔,6,0,0,0,2020-02-12
呼伦贝尔,6,0,1,0,2020-02-12
包头,11,0,0,0,2020-02-12
鄂尔多斯,11,0,2,0,2020-02-12
呼伦贝尔,5,0,1,0,2020-02-10
兴安盟,1,0,0,0,2020-02-10
乌海市,2,0,0,0,2020-02-10
锡林郭勒盟,2,0,1,0,2020-02-10
乌兰察布,3,0,0,0,2020-02-10
赤峰,4,0,1,0,2020-02-10
巴彦淖尔,6,0,0,0,2020-02-10
呼和浩特,7,0,0,0,2020-02-10
包头,11,0,0,0,2020-02-10
鄂尔多斯,11,0,2,0,2020-02-10
通辽,6,0,0,0,2020-02-10
兴安盟,1,0,0,0,2020-02-09
乌海市,2,0,0,0,2020-02-09
锡林郭勒盟,2,0,1,0,2020-02-09
乌兰察布,3,0,0,0,2020-02-09
通辽,3,0,0,0,2020-02-09
赤峰,4,0,1,0,2020-02-09
呼伦贝尔,5,0,1,0,2020-02-09
巴彦淖尔,6,0,0,0,2020-02-09
呼和浩特,7,0,0,0,2020-02-09
包头,10,0,0,0,2020-02-09
鄂尔多斯,11,0,2,0,2020-02-09
通辽,3,0,0,0,2020-02-08
兴安盟,1,0,0,0,2020-02-08
乌海市,2,0,0,0,2020-02-08
锡林郭勒盟,2,0,1,0,2020-02-08
乌兰察布,3,0,0,0,2020-02-08
巴彦淖尔,4,0,0,0,2020-02-08
赤峰,4,0,1,0,2020-02-08
呼伦贝尔,5,0,1,0,2020-02-08
呼和浩特,7,0,0,0,2020-02-08
包头,10,0,0,0,2020-02-08
鄂尔多斯,11,0,2,0,2020-02-08
兴安盟,1,0,0,0,2020-02-07
赤峰,4,0,1,0,2020-02-07
乌兰察布,3,0,0,0,2020-02-07
通辽,2,0,0,0,2020-02-07
乌海市,2,0,0,0,2020-02-07
呼伦贝尔,5,0,1,0,2020-02-07
巴彦淖尔,4,0,0,0,2020-02-07
锡林郭勒盟,2,0,1,0,2020-02-07
呼和浩特,7,0,0,0,2020-02-07
包头,9,0,0,0,2020-02-07
鄂尔多斯,11,0,2,0,2020-02-07
乌兰察布,3,0,0,0,2020-02-06
兴安盟,1,0,0,0,2020-02-06
乌海市,2,0,0,0,2020-02-06
锡林郭勒盟,2,0,1,0,2020-02-06
赤峰,3,0,0,0,2020-02-06
通辽,1,0,0,0,2020-02-06
巴彦淖尔,4,0,0,0,2020-02-06
呼伦贝尔,5,0,1,0,2020-02-06
呼和浩特,5,0,0,0,2020-02-06
包头,9,0,0,0,2020-02-06
鄂尔多斯,11,0,2,0,2020-02-06
呼伦贝尔,3,0,1,0,2020-02-05
通辽,1,0,0,0,2020-02-05
乌海市,2,0,0,0,2020-02-05
锡林郭勒盟,2,0,0,0,2020-02-05
赤峰,3,0,0,0,2020-02-05
兴安盟,1,0,0,0,2020-02-05
乌兰察布,3,0,0,0,2020-02-05
巴彦淖尔,4,0,0,0,2020-02-05
呼和浩特,5,0,0,0,2020-02-05
包头,7,0,0,0,2020-02-05
鄂尔多斯,11,0,2,0,2020-02-05
锡林郭勒盟,2,0,0,0,2020-02-04
乌海市,1,0,0,0,2020-02-04
通辽,1,0,0,0,2020-02-04
兴安盟,1,0,0,0,2020-02-04
赤峰,2,0,0,0,2020-02-04
乌兰察布,3,0,0,0,2020-02-04
呼伦贝尔,3,0,1,0,2020-02-04
巴彦淖尔,3,0,0,0,2020-02-04
呼和浩特,4,0,0,0,2020-02-04
包头,6,0,0,0,2020-02-04
鄂尔多斯,9,0,0,0,2020-02-04
锡林郭勒盟,2,0,0,0,2020-02-03
乌海市,1,0,0,0,2020-02-03
通辽,1,0,0,0,2020-02-03
兴安盟,1,0,0,0,2020-02-03
赤峰,2,0,0,0,2020-02-03
包头,6,0,0,0,2020-02-03
呼伦贝尔,2,0,1,0,2020-02-03
乌兰察布,3,0,0,0,2020-02-03
巴彦淖尔,3,0,0,0,2020-02-03
呼和浩特,4,0,0,0,2020-02-03
鄂尔多斯,9,0,0,0,2020-02-03
赤峰,2,0,0,0,2020-02-02
乌海,1,0,0,0,2020-02-02
通辽,1,0,0,0,2020-02-02
兴安盟,1,0,0,0,2020-02-02
乌兰察布,2,0,0,0,2020-02-02
包头,5,0,0,0,2020-02-02
锡林郭勒盟,2,0,0,0,2020-02-02
呼伦贝尔,2,0,1,0,2020-02-02
呼和浩特,2,0,0,0,2020-02-02
巴彦淖尔,3,0,0,0,2020-02-02
鄂尔多斯,6,0,0,0,2020-02-02
锡林郭勒盟,2,0,0,0,2020-02-01
通辽,1,0,0,0,2020-02-01
兴安盟,1,0,0,0,2020-02-01
乌兰察布,2,0,0,0,2020-02-01
赤峰,2,0,0,0,2020-02-01
呼伦贝尔,2,0,1,0,2020-02-01
呼和浩特,2,0,0,0,2020-02-01
巴彦淖尔,3,0,0,0,2020-02-01
包头,3,0,0,0,2020-02-01
鄂尔多斯,5,0,0,0,2020-02-01
包头,3,0,0,0,2020-01-31
鄂尔多斯,3,0,0,0,2020-01-31
锡林郭勒盟,2,0,0,0,2020-01-31
赤峰,2,0,0,0,2020-01-31
巴彦淖尔,2,0,0,0,2020-01-31
乌兰察布,2,0,0,0,2020-01-31
呼伦贝尔,1,0,1,0,2020-01-31
兴安盟,1,0,0,0,2020-01-31
通辽,1,0,0,0,2020-01-31
呼和浩特,2,0,0,0,2020-01-31
赤峰,2,0,0,0,2020-01-30
包头,3,0,0,0,2020-01-30
兴安盟,1,0,0,0,2020-01-30
巴彦淖尔,2,0,0,0,2020-01-30
通辽,1,0,0,0,2020-01-30
锡林郭勒盟,2,0,0,0,2020-01-30
呼伦贝尔,2,0,0,0,2020-01-30
呼和浩特,2,0,0,0,2020-01-30
鄂尔多斯,3,0,0,0,2020-01-30
包头,3,0,0,0,2020-01-29
呼伦贝尔,2,0,0,0,2020-01-29
锡林郭勒盟,2,0,0,0,2020-01-29
鄂尔多斯,2,0,0,0,2020-01-29
赤峰,2,0,0,0,2020-01-29
兴安盟,1,0,0,0,2020-01-29
通辽,1,0,0,0,2020-01-29
巴彦淖尔,1,0,0,0,2020-01-29
呼和浩特,2,0,0,0,2020-01-29
鄂尔多斯,2,0,0,0,2020-01-28
通辽,1,0,0,0,2020-01-28
兴安盟,1,0,0,0,2020-01-28
赤峰,2,0,0,0,2020-01-28
呼伦贝尔,2,0,0,0,2020-01-28
锡林郭勒盟,2,0,0,0,2020-01-28
呼和浩特,2,0,0,0,2020-01-28
包头,3,0,0,0,2020-01-28
锡林郭勒盟二连浩特,1,0,0,0,2020-01-28
呼伦贝尔满洲里,1,0,0,0,2020-01-28
锡林郭勒盟锡林浩特,1,0,0,0,2020-01-28
鄂尔多斯东胜区,1,0,0,0,2020-01-28
鄂尔多斯鄂托克前旗,1,0,0,0,2020-01-28
赤峰市松山区,1,0,0,0,2020-01-28
赤峰市林西县,1,0,0,0,2020-01-28
呼伦贝尔牙克石,1,0,0,0,2020-01-28
兴安盟乌兰浩特,1,0,0,0,2020-01-28
呼和浩特（新城区）,2,0,0,0,2020-01-28
通辽市经济开发区,1,0,0,0,2020-01-28
包头市昆都仑区,3,0,0,0,2020-01-28
兴安盟乌兰浩特,1,0,0,0,2020-01-27
呼伦贝尔牙克石,1,0,0,0,2020-01-27
鄂尔多斯鄂托克前旗,1,0,0,0,2020-01-27
锡林郭勒盟二连浩特,1,0,0,0,2020-01-27
通辽市经济开发区,1,0,0,0,2020-01-27
锡林郭勒盟锡林浩特,1,0,0,0,2020-01-27
呼伦贝尔满洲里,1,0,0,0,2020-01-27
赤峰市松山区,1,0,0,0,2020-01-27
鄂尔多斯东胜区,1,0,0,0,2020-01-27
包头市东河区,2,0,0,0,2020-01-27
满洲里,1,0,0,0,2020-01-27
通辽,1,0,0,0,2020-01-27
兴安盟,1,0,0,0,2020-01-27
赤峰,1,0,0,0,2020-01-27
鄂尔多斯,2,0,0,0,2020-01-27
锡林郭勒盟,2,0,0,0,2020-01-27
包头,2,0,0,0,2020-01-27
呼伦贝尔牙克石市,1,0,0,0,2020-01-27
锡林郭勒盟,2,0,0,0,2020-01-26
鄂尔多斯,2,0,0,0,2020-01-26
满洲里,1,0,0,0,2020-01-26
赤峰,1,0,0,0,2020-01-26
呼伦贝尔牙克石市,1,0,0,0,2020-01-26
锡林郭勒,2,0,0,0,2020-01-25
满洲里,1,0,0,0,2020-01-25
赤峰,1,0,0,0,2020-01-25
呼伦贝尔,1,0,0,0,2020-01-25
鄂尔多斯,2,0,0,0,2020-01-25
满洲里,1,0,0,0,2020-01-24
