name,confirmed,suspected,discharged,deceased,updatedAtDate
吴忠,10,0,4,0,2020-02-09
石嘴山,1,0,0,0,2020-02-09
中卫,3,0,2,0,2020-02-09
固原,2,0,2,0,2020-02-09
宁东,1,0,0,0,2020-02-09
银川,28,0,5,0,2020-02-09
固原,2,0,0,0,2020-02-08
待明确地区,0,0,10,0,2020-02-08
宁东管委会,1,0,0,0,2020-02-08
石嘴山,1,0,0,0,2020-02-08
中卫,3,0,0,0,2020-02-08
吴忠,9,0,0,0,2020-02-08
银川,29,0,5,0,2020-02-08
固原,2,0,2,0,2020-02-07
银川,27,0,3,0,2020-02-07
吴忠,9,0,0,0,2020-02-07
中卫,3,0,0,0,2020-02-07
宁东管委会,1,0,0,0,2020-02-07
石嘴山,1,0,0,0,2020-02-07
宁东管委会,1,0,0,0,2020-02-06
石嘴山,1,0,0,0,2020-02-06
固原,2,0,0,0,2020-02-06
吴忠,8,0,0,0,2020-02-06
银川,25,0,1,0,2020-02-06
中卫,3,0,0,0,2020-02-06
固原,2,0,0,0,2020-02-04
石嘴山,1,0,0,0,2020-02-04
宁东管委会,1,0,0,0,2020-02-04
中卫,3,0,0,0,2020-02-04
吴忠,7,0,0,0,2020-02-04
银川,20,0,1,0,2020-02-04
固原,2,0,0,0,2020-02-03
宁东管委会,1,0,0,0,2020-02-03
吴忠,7,0,0,0,2020-02-03
中卫,2,0,0,0,2020-02-03
银川,19,0,1,0,2020-02-03
宁东管委会,1,0,0,0,2020-02-02
固原,2,0,0,0,2020-02-02
中卫,2,0,0,0,2020-02-02
吴忠,7,0,0,0,2020-02-02
银川,16,0,0,0,2020-02-02
宁东管委会,1,0,0,0,2020-02-01
固原,2,0,0,0,2020-02-01
中卫,2,0,0,0,2020-02-01
吴忠,6,0,0,0,2020-02-01
银川,15,0,0,0,2020-02-01
银川,11,0,0,0,2020-01-31
吴忠,5,0,0,0,2020-01-31
中卫,2,0,0,0,2020-01-31
固原,2,0,0,0,2020-01-31
宁东管委会,1,0,0,0,2020-01-31
中卫,1,0,0,0,2020-01-30
固原,1,0,0,0,2020-01-30
宁东管委会,1,0,0,0,2020-01-30
吴忠,5,0,0,0,2020-01-30
银川,9,0,0,0,2020-01-30
宁东,1,0,0,0,2020-01-30
银川,7,0,0,0,2020-01-29
吴忠,3,0,0,0,2020-01-29
中卫,1,0,0,0,2020-01-29
固原,1,0,0,0,2020-01-29
吴忠,2,0,0,0,2020-01-28
银川,7,0,0,0,2020-01-28
中卫,1,0,0,0,2020-01-28
固原,1,0,0,0,2020-01-28
固原,1,0,0,0,2020-01-27
银川,5,0,0,0,2020-01-27
中卫,1,0,0,0,2020-01-27
银川,2,0,0,0,2020-01-26
中卫,1,0,0,0,2020-01-26
固原,1,0,0,0,2020-01-26
中卫,1,0,0,0,2020-01-25
固原,1,0,0,0,2020-01-25
银川,1,0,0,0,2020-01-25
银川,1,0,0,0,2020-01-24
中卫,1,0,0,0,2020-01-24
