name,confirmed,suspected,discharged,deceased,updatedAtDate
海北州,3,0,3,0,2020-02-23
西宁,15,0,15,0,2020-02-23
西宁,15,0,15,0,2020-02-21
海北州,3,0,3,0,2020-02-21
西宁,15,0,14,0,2020-02-19
海北州,3,0,2,0,2020-02-19
海北州,3,0,2,0,2020-02-18
西宁,15,0,13,0,2020-02-18
海北州,3,0,2,0,2020-02-15
西宁,15,0,11,0,2020-02-15
西宁,15,0,9,0,2020-02-13
海北州,3,0,2,0,2020-02-13
西宁,15,0,8,0,2020-02-12
海北州,3,0,1,0,2020-02-12
西宁,15,0,5,0,2020-02-11
海北州,3,0,0,0,2020-02-11
海北州,3,0,0,0,2020-02-06
西宁,15,0,3,0,2020-02-06
西宁,14,0,3,0,2020-02-05
海北州,3,0,0,0,2020-02-05
海北州,3,0,0,0,2020-02-04
西宁,12,0,0,0,2020-02-04
西宁,12,0,0,0,2020-02-03
海北州,1,0,0,0,2020-02-03
北海州,1,0,0,0,2020-02-03
西宁,9,0,0,0,2020-02-02
待明确地区,2,0,0,0,2020-02-02
西宁,9,0,0,0,2020-02-01
西宁市,9,0,0,0,2020-02-01
西宁,8,0,0,0,2020-01-31
西宁,6,0,0,0,2020-01-30
西宁,6,0,0,0,2020-01-27
西宁,1,0,0,0,2020-01-25
