name,confirmed,suspected,discharged,deceased,updatedAtDate
菏泽,13,0,2,0,2020-02-07
滨州,11,0,3,0,2020-02-07
青岛,44,0,5,0,2020-02-07
日照,14,0,2,0,2020-02-07
威海,31,0,5,0,2020-02-07
淄博,15,0,1,0,2020-02-07
临沂,35,0,3,0,2020-02-07
济宁,35,0,7,0,2020-02-07
烟台,34,0,2,0,2020-02-07
济南,41,0,3,0,2020-02-07
潍坊,27,0,0,0,2020-02-07
德州,27,0,2,0,2020-02-07
聊城,20,0,1,0,2020-02-07
泰安,20,0,1,0,2020-02-07
枣庄,19,0,0,0,2020-02-07
泰安,18,0,1,0,2020-02-06
滨州,11,0,3,0,2020-02-06
菏泽,13,0,2,0,2020-02-06
淄博,14,0,0,0,2020-02-06
日照,14,0,2,0,2020-02-06
聊城,15,0,0,0,2020-02-06
枣庄,17,0,0,0,2020-02-06
潍坊,21,0,0,0,2020-02-06
德州,26,0,2,0,2020-02-06
威海,29,0,5,0,2020-02-06
烟台,30,0,0,0,2020-02-06
济宁,32,0,4,0,2020-02-06
临沂,32,0,1,0,2020-02-06
济南,34,0,3,0,2020-02-06
青岛,41,0,4,0,2020-02-06
青岛,35,0,3,0,2020-02-05
烟台,27,0,0,0,2020-02-05
济南,29,0,0,0,2020-02-05
临沂,30,0,1,0,2020-02-05
济宁,25,0,3,0,2020-02-05
威海,27,0,2,0,2020-02-05
日照,14,0,0,0,2020-02-05
德州,24,0,1,0,2020-02-05
枣庄,17,0,0,0,2020-02-05
潍坊,16,0,0,0,2020-02-05
淄博,14,0,0,0,2020-02-05
泰安,14,0,1,0,2020-02-05
聊城,12,0,0,0,2020-02-05
菏泽,12,0,2,0,2020-02-05
滨州,11,0,2,0,2020-02-05
威海,25,0,2,0,2020-02-04
日照,14,0,0,0,2020-02-04
菏泽,10,0,0,0,2020-02-04
聊城,10,0,0,0,2020-02-04
滨州,11,0,0,0,2020-02-04
泰安,12,0,1,0,2020-02-04
淄博,12,0,0,0,2020-02-04
潍坊,14,0,0,0,2020-02-04
枣庄,16,0,0,0,2020-02-04
德州,19,0,1,0,2020-02-04
济宁,21,0,3,0,2020-02-04
济南,25,0,0,0,2020-02-04
烟台,26,0,0,0,2020-02-04
临沂,28,0,1,0,2020-02-04
青岛,32,0,3,0,2020-02-04
枣庄,16,0,0,0,2020-02-03
菏泽,10,0,0,0,2020-02-03
聊城,10,0,0,0,2020-02-03
滨州,11,0,0,0,2020-02-03
泰安,12,0,1,0,2020-02-03
淄博,12,0,0,0,2020-02-03
日照,14,0,0,0,2020-02-03
潍坊,13,0,0,0,2020-02-03
济宁,18,0,1,0,2020-02-03
德州,19,0,1,0,2020-02-03
济南,22,0,0,0,2020-02-03
临沂,25,0,1,0,2020-02-03
威海,25,0,2,0,2020-02-03
烟台,26,0,0,0,2020-02-03
青岛,26,0,1,0,2020-02-03
济宁,14,0,1,0,2020-02-02
临沂,24,0,0,0,2020-02-02
青岛,24,0,1,0,2020-02-02
烟台,20,0,0,0,2020-02-02
济南,19,0,0,0,2020-02-02
德州,19,0,1,0,2020-02-02
枣庄,15,0,0,0,2020-02-02
滨州,10,0,0,0,2020-02-02
淄博,12,0,0,0,2020-02-02
日照,11,0,0,0,2020-02-02
潍坊,11,0,0,0,2020-02-02
聊城,9,0,0,0,2020-02-02
泰安,9,0,0,0,2020-02-02
菏泽,9,0,0,0,2020-02-02
威海,24,0,2,0,2020-02-02
未知地区,0,0,1,0,2020-02-02
威海,24,0,0,0,2020-02-01
临沂,23,0,0,0,2020-02-01
青岛,21,0,1,0,2020-02-01
泰安,6,0,0,0,2020-02-01
菏泽,8,0,0,0,2020-02-01
烟台,20,0,0,0,2020-02-01
聊城,8,0,0,0,2020-02-01
滨州,9,0,0,0,2020-02-01
潍坊,9,0,0,0,2020-02-01
淄博,10,0,0,0,2020-02-01
日照,10,0,0,0,2020-02-01
济宁,11,0,1,0,2020-02-01
枣庄,12,0,0,0,2020-02-01
德州,17,0,1,0,2020-02-01
济南,18,0,0,0,2020-02-01
枣庄,9,0,0,0,2020-01-31
泰安,4,0,0,0,2020-01-31
聊城,7,0,0,0,2020-01-31
菏泽,8,0,0,0,2020-01-31
济宁,8,0,0,0,2020-01-31
潍坊,8,0,0,0,2020-01-31
淄博,9,0,0,0,2020-01-31
烟台,18,0,0,0,2020-01-31
滨州,9,0,0,0,2020-01-31
日照,9,0,0,0,2020-01-31
德州,16,0,1,0,2020-01-31
济南,16,0,0,0,2020-01-31
威海,19,0,0,0,2020-01-31
青岛,21,0,1,0,2020-01-31
临沂,23,0,0,0,2020-01-31
枣庄,9,0,0,0,2020-01-30
泰安,3,0,0,0,2020-01-30
聊城,5,0,0,0,2020-01-30
菏泽,7,0,0,0,2020-01-30
潍坊,7,0,0,0,2020-01-30
济宁,8,0,0,0,2020-01-30
滨州,9,0,0,0,2020-01-30
淄博,8,0,0,0,2020-01-30
日照,9,0,0,0,2020-01-30
烟台,13,0,0,0,2020-01-30
济南,14,0,0,0,2020-01-30
威海,14,0,0,0,2020-01-30
德州,15,0,0,0,2020-01-30
临沂,16,0,0,0,2020-01-30
青岛,21,0,1,0,2020-01-30
菏泽,7,0,0,0,2020-01-29
泰安,3,0,0,0,2020-01-29
聊城,4,0,0,0,2020-01-29
淄博,4,0,0,0,2020-01-29
济宁,5,0,0,0,2020-01-29
潍坊,5,0,0,0,2020-01-29
滨州,7,0,0,0,2020-01-29
威海,12,0,0,0,2020-01-29
日照,8,0,0,0,2020-01-29
枣庄,8,0,0,0,2020-01-29
德州,11,0,0,0,2020-01-29
济南,11,0,0,0,2020-01-29
烟台,12,0,0,0,2020-01-29
临沂,16,0,0,0,2020-01-29
青岛,17,0,1,0,2020-01-29
济宁,5,0,0,0,2020-01-28
泰安,1,0,0,0,2020-01-28
淄博,2,0,0,0,2020-01-28
