name,confirmed,suspected,discharged,deceased,updatedAtDate
吕梁,6.0,0.0,6.0,0.0,2020-04-17
大同,12.0,0.0,12.0,0.0,2020-04-17
境外输入,64.0,18.0,2.0,0.0,2020-04-17
晋中,37.0,0.0,37.0,0.0,2020-04-17
运城,19.0,0.0,19.0,0.0,2020-04-17
太原,20.0,0.0,20.0,0.0,2020-04-17
长治,8.0,0.0,8.0,0.0,2020-04-17
朔州,8.0,0.0,8.0,0.0,2020-04-17
忻州,7.0,0.0,7.0,0.0,2020-04-17
阳泉,4.0,0.0,4.0,0.0,2020-04-17
临汾,2.0,0.0,2.0,0.0,2020-04-17
晋城,10.0,0.0,10.0,0.0,2020-04-17
长治,8.0,0.0,8.0,0.0,2020-04-16
临汾,2.0,0.0,2.0,0.0,2020-04-16
阳泉,4.0,0.0,4.0,0.0,2020-04-16
吕梁,6.0,0.0,6.0,0.0,2020-04-16
朔州,8.0,0.0,8.0,0.0,2020-04-16
忻州,7.0,0.0,7.0,0.0,2020-04-16
晋城,10.0,0.0,10.0,0.0,2020-04-16
大同,12.0,0.0,12.0,0.0,2020-04-16
运城,19.0,0.0,19.0,0.0,2020-04-16
太原,20.0,0.0,20.0,0.0,2020-04-16
晋中,37.0,0.0,37.0,0.0,2020-04-16
境外输入,61.0,18.0,2.0,0.0,2020-04-16
临汾,2.0,0.0,2.0,0.0,2020-04-15
阳泉,4.0,0.0,4.0,0.0,2020-04-15
大同,12.0,0.0,12.0,0.0,2020-04-15
吕梁,6.0,0.0,6.0,0.0,2020-04-15
境外输入,53.0,18.0,2.0,0.0,2020-04-15
晋中,37.0,0.0,37.0,0.0,2020-04-15
运城,19.0,0.0,19.0,0.0,2020-04-15
太原,20.0,0.0,20.0,0.0,2020-04-15
晋城,10.0,0.0,10.0,0.0,2020-04-15
长治,8.0,0.0,8.0,0.0,2020-04-15
朔州,8.0,0.0,8.0,0.0,2020-04-15
忻州,7.0,0.0,7.0,0.0,2020-04-15
朔州,8.0,0.0,8.0,0.0,2020-04-13
晋中,37.0,0.0,37.0,0.0,2020-04-13
太原,20.0,0.0,20.0,0.0,2020-04-13
运城,19.0,0.0,19.0,0.0,2020-04-13
大同,12.0,0.0,12.0,0.0,2020-04-13
晋城,10.0,0.0,10.0,0.0,2020-04-13
长治,8.0,0.0,8.0,0.0,2020-04-13
境外输入,40.0,5.0,2.0,0.0,2020-04-13
忻州,7.0,0.0,7.0,0.0,2020-04-13
阳泉,4.0,0.0,4.0,0.0,2020-04-13
临汾,2.0,0.0,2.0,0.0,2020-04-13
吕梁,6.0,0.0,6.0,0.0,2020-04-13
长治,8.0,0.0,8.0,0.0,2020-04-11
临汾,2.0,0.0,2.0,0.0,2020-04-11
阳泉,4.0,0.0,4.0,0.0,2020-04-11
吕梁,6.0,0.0,6.0,0.0,2020-04-11
忻州,7.0,0.0,7.0,0.0,2020-04-11
朔州,8.0,0.0,8.0,0.0,2020-04-11
晋城,10.0,0.0,10.0,0.0,2020-04-11
运城,19.0,0.0,19.0,0.0,2020-04-11
太原,20.0,0.0,20.0,0.0,2020-04-11
晋中,37.0,0.0,37.0,0.0,2020-04-11
境外输入,39.0,5.0,2.0,0.0,2020-04-11
大同,12.0,0.0,12.0,0.0,2020-04-11
朔州,8.0,0.0,8.0,0.0,2020-04-10
临汾,2.0,0.0,2.0,0.0,2020-04-10
阳泉,4.0,0.0,4.0,0.0,2020-04-10
吕梁,6.0,0.0,6.0,0.0,2020-04-10
忻州,7.0,0.0,7.0,0.0,2020-04-10
晋中,37.0,0.0,37.0,0.0,2020-04-10
