name,confirmed,suspected,discharged,deceased,updatedAtDate
境外输入,374.0,4.0,351.0,0.0,2020-07-06
境外来沪,1.0,0.0,0.0,0.0,2020-07-06
外地来沪,113.0,0.0,112.0,1.0,2020-07-06
浦东新区,61.0,0.0,60.0,1.0,2020-07-06
宝山区,22.0,0.0,21.0,1.0,2020-07-06
闵行区,19.0,0.0,19.0,0.0,2020-07-06
徐汇区,18.0,0.0,17.0,1.0,2020-07-06
静安区,16.0,0.0,15.0,1.0,2020-07-06
松江区,14.0,0.0,14.0,0.0,2020-07-06
长宁区,13.0,0.0,13.0,0.0,2020-07-06
普陀区,11.0,0.0,11.0,0.0,2020-07-06
杨浦区,9.0,0.0,9.0,0.0,2020-07-06
嘉定区,9.0,0.0,7.0,2.0,2020-07-06
奉贤区,9.0,0.0,9.0,0.0,2020-07-06
虹口区,7.0,0.0,7.0,0.0,2020-07-06
黄浦区,6.0,0.0,6.0,0.0,2020-07-06
青浦区,6.0,0.0,6.0,0.0,2020-07-06
金山区,4.0,0.0,4.0,0.0,2020-07-06
崇明区,4.0,0.0,4.0,0.0,2020-07-06
长宁区,13.0,0.0,13.0,0.0,2020-07-05
静安区,16.0,0.0,15.0,1.0,2020-07-05
虹口区,7.0,0.0,7.0,0.0,2020-07-05
奉贤区,9.0,0.0,9.0,0.0,2020-07-05
嘉定区,9.0,0.0,7.0,2.0,2020-07-05
普陀区,11.0,0.0,11.0,0.0,2020-07-05
松江区,14.0,0.0,14.0,0.0,2020-07-05
徐汇区,18.0,0.0,17.0,1.0,2020-07-05
青浦区,6.0,0.0,6.0,0.0,2020-07-05
闵行区,19.0,0.0,19.0,0.0,2020-07-05
宝山区,22.0,0.0,21.0,1.0,2020-07-05
浦东新区,61.0,0.0,60.0,1.0,2020-07-05
外地来沪,113.0,0.0,112.0,1.0,2020-07-05
境外来沪,1.0,0.0,0.0,0.0,2020-07-05
境外输入,374.0,4.0,347.0,0.0,2020-07-05
黄浦区,6.0,0.0,6.0,0.0,2020-07-05
杨浦区,9.0,0.0,9.0,0.0,2020-07-05
金山区,4.0,0.0,4.0,0.0,2020-07-05
崇明区,4.0,0.0,4.0,0.0,2020-07-05
普陀区,11.0,0.0,11.0,0.0,2020-07-04
崇明区,4.0,0.0,4.0,0.0,2020-07-04
金山区,4.0,0.0,4.0,0.0,2020-07-04
青浦区,6.0,0.0,6.0,0.0,2020-07-04
黄浦区,6.0,0.0,6.0,0.0,2020-07-04
虹口区,7.0,0.0,7.0,0.0,2020-07-04
奉贤区,9.0,0.0,9.0,0.0,2020-07-04
嘉定区,9.0,0.0,7.0,2.0,2020-07-04
杨浦区,9.0,0.0,9.0,0.0,2020-07-04
徐汇区,18.0,0.0,17.0,1.0,2020-07-04
