name,confirmed,suspected,discharged,deceased,updatedAtDate
南充,39.0,0.0,39.0,0.0,2020-04-24
达州,42.0,0.0,42.0,0.0,2020-04-24
甘孜州,78.0,0.0,78.0,0.0,2020-04-24
成都,166.0,13.0,163.0,3.0,2020-04-24
泸州,24.0,0.0,24.0,0.0,2020-04-24
广安,30.0,0.0,30.0,0.0,2020-04-24
德阳,18.0,0.0,18.0,0.0,2020-04-24
巴中,24.0,0.0,24.0,0.0,2020-04-24
雅安,7.0,0.0,7.0,0.0,2020-04-24
阿坝州,1.0,0.0,1.0,0.0,2020-04-24
乐山,3.0,0.0,3.0,0.0,2020-04-24
资阳,4.0,0.0,4.0,0.0,2020-04-24
广元,6.0,0.0,6.0,0.0,2020-04-24
眉山,8.0,0.0,8.0,0.0,2020-04-24
绵阳,22.0,0.0,22.0,0.0,2020-04-24
自贡,9.0,0.0,9.0,0.0,2020-04-24
宜宾,12.0,0.0,12.0,0.0,2020-04-24
凉山州,13.0,0.0,13.0,0.0,2020-04-24
攀枝花,16.0,0.0,16.0,0.0,2020-04-24
遂宁,17.0,0.0,17.0,0.0,2020-04-24
内江,22.0,0.0,22.0,0.0,2020-04-24
巴中,24.0,0.0,24.0,0.0,2020-04-23
成都,166.0,13.0,162.0,3.0,2020-04-23
甘孜州,78.0,0.0,78.0,0.0,2020-04-23
达州,42.0,0.0,42.0,0.0,2020-04-23
南充,39.0,0.0,39.0,0.0,2020-04-23
广安,30.0,0.0,30.0,0.0,2020-04-23
泸州,24.0,0.0,24.0,0.0,2020-04-23
遂宁,17.0,0.0,17.0,0.0,2020-04-23
绵阳,22.0,0.0,22.0,0.0,2020-04-23
德阳,18.0,0.0,18.0,0.0,2020-04-23
攀枝花,16.0,0.0,16.0,0.0,2020-04-23
凉山州,13.0,0.0,13.0,0.0,2020-04-23
宜宾,12.0,0.0,12.0,0.0,2020-04-23
眉山,8.0,0.0,8.0,0.0,2020-04-23
自贡,9.0,0.0,9.0,0.0,2020-04-23
雅安,7.0,0.0,7.0,0.0,2020-04-23
广元,6.0,0.0,6.0,0.0,2020-04-23
资阳,4.0,0.0,4.0,0.0,2020-04-23
乐山,3.0,0.0,3.0,0.0,2020-04-23
阿坝州,1.0,0.0,1.0,0.0,2020-04-23
内江,22.0,0.0,22.0,0.0,2020-04-23
绵阳,22.0,0.0,22.0,0.0,2020-04-22
遂宁,17.0,0.0,17.0,0.0,2020-04-22
德阳,18.0,0.0,18.0,0.0,2020-04-22
内江,22.0,0.0,22.0,0.0,2020-04-22
广安,30.0,0.0,30.0,0.0,2020-04-22
巴中,24.0,0.0,24.0,0.0,2020-04-22
泸州,24.0,0.0,24.0,0.0,2020-04-22
凉山州,13.0,0.0,13.0,0.0,2020-04-22
攀枝花,16.0,0.0,16.0,0.0,2020-04-22
阿坝州,1.0,0.0,1.0,0.0,2020-04-22
宜宾,12.0,0.0,12.0,0.0,2020-04-22
自贡,9.0,0.0,9.0,0.0,2020-04-22
眉山,8.0,0.0,8.0,0.0,2020-04-22
雅安,7.0,0.0,7.0,0.0,2020-04-22
广元,6.0,0.0,6.0,0.0,2020-04-22
资阳,4.0,0.0,4.0,0.0,2020-04-22
乐山,3.0,0.0,3.0,0.0,2020-04-22
达州,42.0,0.0,42.0,0.0,2020-04-22
南充,39.0,0.0,39.0,0.0,2020-04-22
甘孜州,78.0,0.0,78.0,0.0,2020-04-22
成都,166.0,13.0,161.0,3.0,2020-04-22
资阳,4.0,0.0,4.0,0.0,2020-04-19
乐山,3.0,0.0,3.0,0.0,2020-04-19
阿坝州,1.0,0.0,1.0,0.0,2020-04-19
雅安,7.0,0.0,7.0,0.0,2020-04-19
广元,6.0,0.0,6.0,0.0,2020-04-19
德阳,18.0,0.0,18.0,0.0,2020-04-19
眉山,8.0,0.0,8.0,0.0,2020-04-19
绵阳,22.0,0.0,22.0,0.0,2020-04-19
自贡,9.0,0.0,9.0,0.0,2020-04-19
甘孜州,78.0,0.0,78.0,0.0,2020-04-19
南充,39.0,0.0,39.0,0.0,2020-04-19
广安,30.0,0.0,30.0,0.0,2020-04-19
泸州,24.0,0.0,24.0,0.0,2020-04-19
巴中,24.0,0.0,24.0,0.0,2020-04-19
达州,42.0,0.0,42.0,0.0,2020-04-19
内江,22.0,0.0,22.0,0.0,2020-04-19
遂宁,17.0,0.0,17.0,0.0,2020-04-19
攀枝花,16.0,0.0,16.0,0.0,2020-04-19
凉山州,13.0,0.0,13.0,0.0,2020-04-19
宜宾,12.0,0.0,12.0,0.0,2020-04-19
成都,166.0,13.0,159.0,3.0,2020-04-19
遂宁,17.0,0.0,17.0,0.0,2020-04-18
阿坝州,1.0,0.0,1.0,0.0,2020-04-18
乐山,3.0,0.0,3.0,0.0,2020-04-18
资阳,4.0,0.0,4.0,0.0,2020-04-18
广元,6.0,0.0,6.0,0.0,2020-04-18
眉山,8.0,0.0,8.0,0.0,2020-04-18
自贡,9.0,0.0,9.0,0.0,2020-04-18
凉山州,13.0,0.0,13.0,0.0,2020-04-18
攀枝花,16.0,0.0,16.0,0.0,2020-04-18
雅安,7.0,0.0,7.0,0.0,2020-04-18
德阳,18.0,0.0,18.0,0.0,2020-04-18
南充,39.0,0.0,39.0,0.0,2020-04-18
内江,22.0,0.0,22.0,0.0,2020-04-18
成都,166.0,13.0,158.0,3.0,2020-04-18
甘孜州,78.0,0.0,78.0,0.0,2020-04-18
达州,42.0,0.0,42.0,0.0,2020-04-18
宜宾,12.0,0.0,12.0,0.0,2020-04-18
广安,30.0,0.0,30.0,0.0,2020-04-18
泸州,24.0,0.0,24.0,0.0,2020-04-18
巴中,24.0,0.0,24.0,0.0,2020-04-18
绵阳,22.0,0.0,22.0,0.0,2020-04-18
宜宾,12.0,0.0,12.0,0.0,2020-04-16
巴中,24.0,0.0,24.0,0.0,2020-04-16
绵阳,22.0,0.0,22.0,0.0,2020-04-16
内江,22.0,0.0,22.0,0.0,2020-04-16
德阳,18.0,0.0,18.0,0.0,2020-04-16
遂宁,17.0,0.0,17.0,0.0,2020-04-16
攀枝花,16.0,0.0,16.0,0.0,2020-04-16
凉山州,13.0,0.0,13.0,0.0,2020-04-16
广元,6.0,0.0,6.0,0.0,2020-04-16
自贡,9.0,0.0,9.0,0.0,2020-04-16
眉山,8.0,0.0,8.0,0.0,2020-04-16
雅安,7.0,0.0,7.0,0.0,2020-04-16
资阳,4.0,0.0,4.0,0.0,2020-04-16
乐山,3.0,0.0,3.0,0.0,2020-04-16
阿坝州,1.0,0.0,1.0,0.0,2020-04-16
广安,30.0,0.0,30.0,0.0,2020-04-16
泸州,24.0,0.0,24.0,0.0,2020-04-16
南充,39.0,0.0,39.0,0.0,2020-04-16
达州,42.0,0.0,42.0,0.0,2020-04-16
成都,165.0,13.0,157.0,3.0,2020-04-16
甘孜州,78.0,0.0,78.0,0.0,2020-04-16
广元,6.0,0.0,6.0,0.0,2020-04-15
宜宾,12.0,0.0,12.0,0.0,2020-04-15
自贡,9.0,0.0,9.0,0.0,2020-04-15
眉山,8.0,0.0,8.0,0.0,2020-04-15
雅安,7.0,0.0,7.0,0.0,2020-04-15
资阳,4.0,0.0,4.0,0.0,2020-04-15
乐山,3.0,0.0,3.0,0.0,2020-04-15
阿坝州,1.0,0.0,1.0,0.0,2020-04-15
攀枝花,16.0,0.0,16.0,0.0,2020-04-15
凉山州,13.0,0.0,13.0,0.0,2020-04-15
遂宁,17.0,0.0,17.0,0.0,2020-04-15
广安,30.0,0.0,30.0,0.0,2020-04-15
德阳,18.0,0.0,18.0,0.0,2020-04-15
成都,165.0,13.0,155.0,3.0,2020-04-15
达州,42.0,0.0,42.0,0.0,2020-04-15
南充,39.0,0.0,39.0,0.0,2020-04-15
甘孜州,78.0,0.0,78.0,0.0,2020-04-15
泸州,24.0,0.0,24.0,0.0,2020-04-15
巴中,24.0,0.0,24.0,0.0,2020-04-15
绵阳,22.0,0.0,22.0,0.0,2020-04-15
内江,22.0,0.0,22.0,0.0,2020-04-15
内江,22.0,0.0,22.0,0.0,2020-04-13
绵阳,22.0,0.0,22.0,0.0,2020-04-13
巴中,24.0,0.0,24.0,0.0,2020-04-13
泸州,24.0,0.0,24.0,0.0,2020-04-13
广安,30.0,0.0,30.0,0.0,2020-04-13
南充,39.0,0.0,39.0,0.0,2020-04-13
达州,42.0,0.0,42.0,0.0,2020-04-13
甘孜州,78.0,0.0,78.0,0.0,2020-04-13
成都,165.0,13.0,153.0,3.0,2020-04-13
德阳,18.0,0.0,18.0,0.0,2020-04-13
遂宁,17.0,0.0,17.0,0.0,2020-04-13
攀枝花,16.0,0.0,16.0,0.0,2020-04-13
凉山州,13.0,0.0,13.0,0.0,2020-04-13
阿坝州,1.0,0.0,1.0,0.0,2020-04-13
乐山,3.0,0.0,3.0,0.0,2020-04-13
资阳,4.0,0.0,4.0,0.0,2020-04-13
广元,6.0,0.0,6.0,0.0,2020-04-13
雅安,7.0,0.0,7.0,0.0,2020-04-13
眉山,8.0,0.0,8.0,0.0,2020-04-13
自贡,9.0,0.0,9.0,0.0,2020-04-13
宜宾,12.0,0.0,12.0,0.0,2020-04-13
广元,6.0,0.0,6.0,0.0,2020-04-11
宜宾,12.0,0.0,12.0,0.0,2020-04-11
自贡,9.0,0.0,9.0,0.0,2020-04-11
眉山,8.0,0.0,8.0,0.0,2020-04-11
雅安,7.0,0.0,7.0,0.0,2020-04-11
资阳,4.0,0.0,4.0,0.0,2020-04-11
乐山,3.0,0.0,3.0,0.0,2020-04-11
阿坝州,1.0,0.0,1.0,0.0,2020-04-11
攀枝花,16.0,0.0,16.0,0.0,2020-04-11
凉山州,13.0,0.0,13.0,0.0,2020-04-11
成都,165.0,13.0,152.0,3.0,2020-04-11
遂宁,17.0,0.0,17.0,0.0,2020-04-11
广安,30.0,0.0,30.0,0.0,2020-04-11
德阳,18.0,0.0,18.0,0.0,2020-04-11
达州,42.0,0.0,42.0,0.0,2020-04-11
南充,39.0,0.0,39.0,0.0,2020-04-11
甘孜州,78.0,0.0,78.0,0.0,2020-04-11
泸州,24.0,0.0,24.0,0.0,2020-04-11
巴中,24.0,0.0,24.0,0.0,2020-04-11
绵阳,22.0,0.0,22.0,0.0,2020-04-11
内江,22.0,0.0,22.0,0.0,2020-04-11
遂宁,17.0,0.0,17.0,0.0,2020-04-10
阿坝州,1.0,0.0,1.0,0.0,2020-04-10
乐山,3.0,0.0,3.0,0.0,2020-04-10
资阳,4.0,0.0,4.0,0.0,2020-04-10
广元,6.0,0.0,6.0,0.0,2020-04-10
雅安,7.0,0.0,7.0,0.0,2020-04-10
自贡,9.0,0.0,9.0,0.0,2020-04-10
宜宾,12.0,0.0,12.0,0.0,2020-04-10
凉山州,13.0,0.0,13.0,0.0,2020-04-10
攀枝花,16.0,0.0,16.0,0.0,2020-04-10
眉山,8.0,0.0,8.0,0.0,2020-04-10
