name,confirmed,suspected,discharged,deceased,updatedAtDate
河西区,4,0,1,0,2020-02-13
武清区,1,0,0,0,2020-02-13
津南区,1,0,0,0,2020-02-13
滨海新区,3,0,0,0,2020-02-13
东丽区,4,0,0,0,2020-02-13
宁河区,4,0,0,0,2020-02-13
西青区,4,0,2,0,2020-02-13
红桥区,2,0,1,0,2020-02-13
南开区,4,0,0,0,2020-02-13
外地来津人员,6,0,1,0,2020-02-13
和平区,6,0,1,0,2020-02-13
宝坻区,43,0,1,2,2020-02-13
河北区,12,0,2,0,2020-02-13
河东区,13,0,2,1,2020-02-13
北辰区,6,0,0,0,2020-02-13
待明确地区,0,0,1,0,2020-02-13
宁河区,4,0,0,0,2020-02-12
东丽区,4,0,0,0,2020-02-12
滨海新区,3,0,0,0,2020-02-12
红桥区,2,0,1,0,2020-02-12
津南区,1,0,0,0,2020-02-12
武清区,1,0,0,0,2020-02-12
待明确地区,0,0,1,0,2020-02-12
河西区,4,0,1,0,2020-02-12
西青区,4,0,1,0,2020-02-12
河东区,13,0,2,1,2020-02-12
南开区,4,0,0,0,2020-02-12
北辰区,5,0,0,0,2020-02-12
宝坻区,43,0,1,1,2020-02-12
河北区,12,0,2,0,2020-02-12
和平区,6,0,1,0,2020-02-12
外地来津人员,6,0,1,0,2020-02-12
东丽区,4,0,0,0,2020-02-11
待明确地区,0,0,1,0,2020-02-11
武清区,1,0,0,0,2020-02-11
津南区,1,0,0,0,2020-02-11
南开区,3,0,0,0,2020-02-11
滨海新区,3,0,0,0,2020-02-11
北辰区,4,0,0,0,2020-02-11
红桥区,2,0,1,0,2020-02-11
宁河区,4,0,0,0,2020-02-11
河西区,4,0,1,0,2020-02-11
外地来津人员,6,0,1,0,2020-02-11
和平区,6,0,1,0,2020-02-11
河北区,11,0,2,0,2020-02-11
河东区,13,0,2,1,2020-02-11
西青区,4,0,1,0,2020-02-11
宝坻区,39,0,0,1,2020-02-11
东丽区,4,0,0,0,2020-02-10
武清区,1,0,0,0,2020-02-10
北辰区,1,0,0,0,2020-02-10
津南区,1,0,4,0,2020-02-10
红桥区,2,0,1,0,2020-02-10
南开区,3,0,0,0,2020-02-10
滨海新区,3,0,0,0,2020-02-10
宁河区,4,0,0,0,2020-02-10
河西区,4,0,0,0,2020-02-10
外地来津人员,6,0,0,0,2020-02-10
和平区,6,0,1,0,2020-02-10
河北区,10,0,1,0,2020-02-10
河东区,11,0,1,0,2020-02-10
宝坻区,35,0,0,1,2020-02-10
西青区,4,0,0,0,2020-02-10
东丽区,4,0,0,0,2020-02-09
武清区,1,0,0,0,2020-02-09
北辰区,1,0,0,0,2020-02-09
津南区,1,0,0,0,2020-02-09
红桥区,2,0,1,0,2020-02-09
