name,confirmed,suspected,discharged,deceased,updatedAtDate
阿克苏地区,1.0,0.0,1.0,0.0,2020-03-08
兵团第七师,1.0,0.0,1.0,0.0,2020-03-08
吐鲁番市,3.0,0.0,3.0,0.0,2020-03-08
兵团第六师五家渠市,2.0,0.0,2.0,0.0,2020-03-08
兵团第十二师,3.0,0.0,3.0,0.0,2020-03-08
巴州,3.0,0.0,3.0,0.0,2020-03-08
兵团第四师,10.0,0.0,9.0,1.0,2020-03-08
昌吉州,4.0,0.0,4.0,0.0,2020-03-08
兵团第八师石河子市,4.0,0.0,3.0,1.0,2020-03-08
伊犁州,18.0,0.0,18.0,0.0,2020-03-08
乌鲁木齐,23.0,0.0,23.0,0.0,2020-03-08
兵团第九师,4.0,0.0,3.0,1.0,2020-03-08
阿克苏地区,1.0,0.0,1.0,0.0,2020-03-07
兵团第七师,1.0,0.0,1.0,0.0,2020-03-07
伊犁州,18.0,0.0,18.0,0.0,2020-03-07
兵团第九师,4.0,0.0,2.0,1.0,2020-03-07
乌鲁木齐,23.0,0.0,23.0,0.0,2020-03-07
兵团第四师,10.0,0.0,9.0,1.0,2020-03-07
兵团第八师石河子市,4.0,0.0,3.0,1.0,2020-03-07
昌吉州,4.0,0.0,4.0,0.0,2020-03-07
巴州,3.0,0.0,3.0,0.0,2020-03-07
兵团第十二师,3.0,0.0,3.0,0.0,2020-03-07
兵团第六师五家渠市,2.0,0.0,2.0,0.0,2020-03-07
吐鲁番市,3.0,0.0,3.0,0.0,2020-03-07
伊犁州,18.0,0.0,18.0,0.0,2020-03-06
乌鲁木齐,23.0,0.0,23.0,0.0,2020-03-06
吐鲁番市,3.0,0.0,2.0,0.0,2020-03-06
兵团第九师,4.0,0.0,2.0,1.0,2020-03-06
兵团第四师,10.0,0.0,9.0,1.0,2020-03-06
昌吉州,4.0,0.0,4.0,0.0,2020-03-06
兵团第八师石河子市,4.0,0.0,3.0,1.0,2020-03-06
巴州,3.0,0.0,3.0,0.0,2020-03-06
兵团第十二师,3.0,0.0,3.0,0.0,2020-03-06
阿克苏地区,1.0,0.0,1.0,0.0,2020-03-06
兵团第七师,1.0,0.0,1.0,0.0,2020-03-06
兵团第六师五家渠市,2.0,0.0,2.0,0.0,2020-03-06
乌鲁木齐,23.0,0.0,22.0,0.0,2020-03-05
阿克苏地区,1.0,0.0,1.0,0.0,2020-03-05
