name,confirmed,suspected,discharged,deceased,updatedAtDate
昭通,25.0,0.0,25.0,0.0,2020-04-17
丽江,7.0,0.0,7.0,0.0,2020-04-17
玉溪,14.0,0.0,13.0,1.0,2020-04-17
曲靖,13.0,0.0,13.0,0.0,2020-04-17
大理州,13.0,0.0,13.0,0.0,2020-04-17
红河州,9.0,0.0,9.0,0.0,2020-04-17
保山,9.0,0.0,9.0,0.0,2020-04-17
普洱,4.0,0.0,4.0,0.0,2020-04-17
德宏州,5.0,0.0,5.0,0.0,2020-04-17
楚雄州,4.0,0.0,4.0,0.0,2020-04-17
文山州,2.0,0.0,2.0,0.0,2020-04-17
临沧,1.0,0.0,1.0,0.0,2020-04-17
西双版纳,15.0,0.0,14.0,1.0,2020-04-17
昆明,53.0,0.0,53.0,0.0,2020-04-17
境外输入,10.0,0.0,5.0,0.0,2020-04-17
文山州,2.0,0.0,2.0,0.0,2020-04-15
楚雄州,4.0,0.0,4.0,0.0,2020-04-15
普洱,4.0,0.0,4.0,0.0,2020-04-15
德宏州,5.0,0.0,5.0,0.0,2020-04-15
丽江,7.0,0.0,7.0,0.0,2020-04-15
保山,9.0,0.0,9.0,0.0,2020-04-15
红河州,9.0,0.0,9.0,0.0,2020-04-15
大理州,13.0,0.0,13.0,0.0,2020-04-15
曲靖,13.0,0.0,13.0,0.0,2020-04-15
玉溪,14.0,0.0,13.0,1.0,2020-04-15
西双版纳,15.0,0.0,14.0,1.0,2020-04-15
昭通,25.0,0.0,25.0,0.0,2020-04-15
昆明,53.0,0.0,53.0,0.0,2020-04-15
境外输入,10.0,0.0,4.0,0.0,2020-04-15
临沧,1.0,0.0,1.0,0.0,2020-04-15
昭通,25.0,0.0,25.0,0.0,2020-04-14
红河州,9.0,0.0,9.0,0.0,2020-04-14
境外输入,10.0,0.0,3.0,0.0,2020-04-14
昆明,53.0,0.0,53.0,0.0,2020-04-14
西双版纳,15.0,0.0,14.0,1.0,2020-04-14
临沧,1.0,0.0,1.0,0.0,2020-04-14
曲靖,13.0,0.0,13.0,0.0,2020-04-14
大理州,13.0,0.0,13.0,0.0,2020-04-14
玉溪,14.0,0.0,13.0,1.0,2020-04-14
保山,9.0,0.0,9.0,0.0,2020-04-14
丽江,7.0,0.0,7.0,0.0,2020-04-14
德宏州,5.0,0.0,5.0,0.0,2020-04-14
普洱,4.0,0.0,4.0,0.0,2020-04-14
楚雄州,4.0,0.0,4.0,0.0,2020-04-14
文山州,2.0,0.0,2.0,0.0,2020-04-14
保山,9.0,0.0,9.0,0.0,2020-04-11
临沧,1.0,0.0,1.0,0.0,2020-04-11
文山州,2.0,0.0,2.0,0.0,2020-04-11
楚雄州,4.0,0.0,4.0,0.0,2020-04-11
普洱,4.0,0.0,4.0,0.0,2020-04-11
德宏州,5.0,0.0,5.0,0.0,2020-04-11
丽江,7.0,0.0,7.0,0.0,2020-04-11
红河州,9.0,0.0,9.0,0.0,2020-04-11
曲靖,13.0,0.0,13.0,0.0,2020-04-11
玉溪,14.0,0.0,13.0,1.0,2020-04-11
西双版纳,15.0,0.0,14.0,1.0,2020-04-11
昭通,25.0,0.0,25.0,0.0,2020-04-11
昆明,53.0,0.0,53.0,0.0,2020-04-11
境外输入,10.0,0.0,2.0,0.0,2020-04-11
大理州,13.0,0.0,13.0,0.0,2020-04-11
昭通,25.0,0.0,25.0,0.0,2020-04-07
西双版纳,15.0,0.0,14.0,1.0,2020-04-07
玉溪,14.0,0.0,13.0,1.0,2020-04-07
曲靖,13.0,0.0,13.0,0.0,2020-04-07
大理州,13.0,0.0,13.0,0.0,2020-04-07
红河州,9.0,0.0,9.0,0.0,2020-04-07
保山,9.0,0.0,9.0,0.0,2020-04-07
丽江,7.0,0.0,7.0,0.0,2020-04-07
德宏州,5.0,0.0,5.0,0.0,2020-04-07
普洱,4.0,0.0,4.0,0.0,2020-04-07
楚雄州,4.0,0.0,4.0,0.0,2020-04-07
文山州,2.0,0.0,2.0,0.0,2020-04-07
临沧,1.0,0.0,1.0,0.0,2020-04-07
境外输入,10.0,0.0,1.0,0.0,2020-04-07
昆明,53.0,0.0,53.0,0.0,2020-04-07
保山,9.0,0.0,9.0,0.0,2020-04-03
临沧,1.0,0.0,1.0,0.0,2020-04-03
文山州,2.0,0.0,2.0,0.0,2020-04-03
楚雄州,4.0,0.0,4.0,0.0,2020-04-03
普洱,4.0,0.0,4.0,0.0,2020-04-03
