name,confirmed,suspected,discharged,deceased,updatedAtDate
湖州,10,0,5,0,2020-02-18
丽水,17,0,11,0,2020-02-18
衢州,21,0,10,0,2020-02-18
绍兴,42,0,20,0,2020-02-18
金华,55,0,30,0,2020-02-18
嘉兴,43,0,15,0,2020-02-18
杭州,168,0,94,0,2020-02-18
台州,146,0,69,0,2020-02-18
宁波,156,0,68,0,2020-02-18
温州,504,0,208,0,2020-02-18
舟山,10,0,5,0,2020-02-18
绍兴,42,0,19,0,2020-02-17
湖州,10,0,5,0,2020-02-17
舟山,10,0,5,0,2020-02-17
丽水,17,0,11,0,2020-02-17
衢州,21,0,10,0,2020-02-17
嘉兴,43,0,13,0,2020-02-17
金华,55,0,30,0,2020-02-17
杭州,168,0,93,0,2020-02-17
台州,146,0,64,0,2020-02-17
宁波,156,0,63,0,2020-02-17
温州,503,0,194,0,2020-02-17
丽水,17,0,11,0,2020-02-16
舟山,10,0,5,0,2020-02-16
湖州,10,0,4,0,2020-02-16
衢州,21,0,9,0,2020-02-16
绍兴,42,0,17,0,2020-02-16
台州,146,0,63,0,2020-02-16
金华,55,0,24,0,2020-02-16
嘉兴,43,0,11,0,2020-02-16
宁波,155,0,55,0,2020-02-16
杭州,166,0,75,0,2020-02-16
温州,502,0,182,0,2020-02-16
温州,499,0,169,0,2020-02-15
杭州,166,0,73,0,2020-02-15
台州,145,0,60,0,2020-02-15
嘉兴,43,0,11,0,2020-02-15
金华,55,0,24,0,2020-02-15
绍兴,42,0,17,0,2020-02-15
衢州,21,0,9,0,2020-02-15
丽水,17,0,10,0,2020-02-15
舟山,10,0,5,0,2020-02-15
宁波,154,0,46,0,2020-02-15
湖州,10,0,4,0,2020-02-15
绍兴,42,0,16,0,2020-02-14
舟山,10,0,5,0,2020-02-14
湖州,10,0,4,0,2020-02-14
丽水,17,0,10,0,2020-02-14
衢州,21,0,8,0,2020-02-14
金华,55,0,24,0,2020-02-14
嘉兴,42,0,10,0,2020-02-14
台州,144,0,52,0,2020-02-14
杭州,165,0,69,0,2020-02-14
宁波,153,0,46,0,2020-02-14
温州,496,0,159,0,2020-02-14
湖州,10,0,4,0,2020-02-13
宁波,153,0,35,0,2020-02-13
温州,490,0,140,0,2020-02-13
台州,144,0,49,0,2020-02-13
杭州,162,0,63,0,2020-02-13
嘉兴,42,0,8,0,2020-02-13
金华,55,0,24,0,2020-02-13
舟山,10,0,5,0,2020-02-13
丽水,17,0,9,0,2020-02-13
绍兴,41,0,15,0,2020-02-13
衢州,21,0,8,0,2020-02-13
舟山,10,0,5,0,2020-02-12
湖州,10,0,4,0,2020-02-12
丽水,17,0,7,0,2020-02-12
杭州,159,0,67,0,2020-02-12
宁波,153,0,25,0,2020-02-12
衢州,21,0,5,0,2020-02-12
台州,143,0,46,0,2020-02-12
金华,54,0,23,0,2020-02-12
嘉兴,42,0,6,0,2020-02-12
绍兴,41,0,13,0,2020-02-12
温州,481,0,120,0,2020-02-12
舟山,10,0,5,0,2020-02-11
湖州,10,0,4,0,2020-02-11
衢州,21,0,5,0,2020-02-11
嘉兴,40,0,6,0,2020-02-11
绍兴,41,0,12,0,2020-02-11
金华,53,0,19,0,2020-02-11
台州,143,0,38,0,2020-02-11
宁波,151,0,24,0,2020-02-11
杭州,157,0,48,0,2020-02-11
温州,474,0,102,0,2020-02-11
丽水,17,0,7,0,2020-02-11
嘉兴,40,0,5,0,2020-02-10
舟山,7,0,5,0,2020-02-10
湖州,10,0,3,0,2020-02-10
衢州,15,0,5,0,2020-02-10
丽水,17,0,5,0,2020-02-10
温州,464,0,99,0,2020-02-10
绍兴,41,0,10,0,2020-02-10
台州,141,0,35,0,2020-02-10
宁波,149,0,18,0,2020-02-10
杭州,155,0,41,0,2020-02-10
金华,53,0,16,0,2020-02-10
绍兴,38,0,8,0,2020-02-09
舟山,7,0,5,0,2020-02-09
湖州,10,0,1,0,2020-02-09
衢州,15,0,3,0,2020-02-09
丽水,17,0,5,0,2020-02-09
嘉兴,38,0,3,0,2020-02-09
台州,138,0,27,0,2020-02-09
宁波,146,0,15,0,2020-02-09
杭州,165,0,41,0,2020-02-09
温州,448,0,78,0,2020-02-09
金华,53,0,15,0,2020-02-09
绍兴,36,0,5,0,2020-02-08
待明确地区,0,0,13,0,2020-02-08
舟山,7,0,5,0,2020-02-08
湖州,10,0,1,0,2020-02-08
衢州,15,0,3,0,2020-02-08
丽水,17,0,5,0,2020-02-08
温州,438,0,70,0,2020-02-08
嘉兴,37,0,1,0,2020-02-08
金华,52,0,13,0,2020-02-08
台州,133,0,25,0,2020-02-08
宁波,141,0,12,0,2020-02-08
杭州,162,0,22,0,2020-02-08
嘉兴,35,0,1,0,2020-02-07
舟山,7,0,5,0,2020-02-07
湖州,9,0,1,0,2020-02-07
衢州,15,0,3,0,2020-02-07
绍兴,34,0,5,0,2020-02-07
丽水,16,0,3,0,2020-02-07
金华,48,0,9,0,2020-02-07
宁波,136,0,12,0,2020-02-07
杭州,156,0,18,0,2020-02-07
温州,421,0,49,0,2020-02-07
台州,129,0,17,0,2020-02-07
待明确地区,0,0,2,0,2020-02-07
绍兴,33,0,3,0,2020-02-06
舟山,7,0,3,0,2020-02-06
湖州,9,0,1,0,2020-02-06
衢州,15,0,2,0,2020-02-06
嘉兴,30,0,1,0,2020-02-06
丽水,16,0,1,0,2020-02-06
金华,47,0,9,0,2020-02-06
台州,124,0,14,0,2020-02-06
宁波,126,0,9,0,2020-02-06
杭州,151,0,15,0,2020-02-06
温州,396,0,36,0,2020-02-06
绍兴,30,0,3,0,2020-02-05
舟山,7,0,3,0,2020-02-05
湖州,9,0,1,0,2020-02-05
衢州,15,0,2,0,2020-02-05
嘉兴,27,0,0,0,2020-02-05
丽水,16,0,1,0,2020-02-05
宁波,120,0,4,0,2020-02-05
台州,122,0,14,0,2020-02-05
杭州,141,0,14,0,2020-02-05
温州,364,0,28,0,2020-02-05
金华,44,0,8,0,2020-02-05
绍兴,30,0,3,0,2020-02-04
湖州,9,0,1,0,2020-02-04
衢州,15,0,0,0,2020-02-04
丽水,16,0,1,0,2020-02-04
嘉兴,23,0,0,0,2020-02-04
舟山,7,0,2,0,2020-02-04
金华,40,0,6,0,2020-02-04
宁波,102,0,4,0,2020-02-04
台州,115,0,11,0,2020-02-04
杭州,132,0,6,0,2020-02-04
温州,340,0,28,0,2020-02-04
嘉兴,19,0,0,0,2020-02-03
舟山,7,0,2,0,2020-02-03
湖州,9,0,1,0,2020-02-03
衢州,14,0,0,0,2020-02-03
丽水,16,0,1,0,2020-02-03
金华,36,0,6,0,2020-02-03
绍兴,30,0,2,0,2020-02-03
宁波,75,0,1,0,2020-02-03
台州,109,0,11,0,2020-02-03
杭州,118,0,2,0,2020-02-03
温州,291,0,17,0,2020-02-03
嘉兴,19,0,0,0,2020-02-02
温州,265,0,15,0,2020-02-02
杭州,110,0,2,0,2020-02-02
台州,100,0,7,0,2020-02-02
金华,34,0,4,0,2020-02-02
绍兴,27,0,1,0,2020-02-02
宁波,66,0,1,0,2020-02-02
丽水,14,0,1,0,2020-02-02
衢州,13,0,0,0,2020-02-02
舟山,7,0,1,0,2020-02-02
湖州,6,0,0,0,2020-02-02
绍兴,24,0,0,0,2020-02-01
湖州,6,0,0,0,2020-02-01
